A wojel tu'ux u taal	Ma' a wojel tu'ux u taali'	TYPE:NEG;SUBTYPE:DEC
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jach k'a'abéet in bin tu k'íiwikil koonol	Jach k'a'abéet u bin tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet in bin tu k'íiwikil koonol	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jach k'a'abéet in bin tu k'íiwikil koonol	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Jach k'a'abéet u bin tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet in bin tu k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet u bin tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Ma' jach k'a'abéet u bin tu kooli'	Ma' wáaj jach k'a'abéet u bin tu kooli'	TYPE:NEG;SUBTYPE:INT
Jach k'a'abéet wáaj u bin ich kool	Ma' wáaj jach k'a'abéet u bin tu kooli'	TYPE:NEG;SUBTYPE:INT
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	PERSON:3_SI
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach wáaj k'a'abéet in bin k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach wáaj k'a'abéet in bin k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach wáaj k'a'abéet in bin k'íiwikil koonol	PERSON:1_SI
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jach wáaj k'a'abéet in bin merkaado	Jach wáaj k'a'abéet u bin merkaado	PERSON:3_SI
Jach wáaj k'a'abéet in bin merkaado	Jach wáaj k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jach wáaj k'a'abéet in bin merkaado	Jach wáaj k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet u bin merkaado	PERSON:3_SI
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach wáaj k'a'abéet a bine'ex merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Jach wáaj k'a'abéet a bine'ex merkaado	Jach wáaj k'a'abéet u bin merkaado	PERSON:3_SI
Jach wáaj k'a'abéet a bine'ex merkaado	Jach wáaj k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jayp'éel k'iino'ob ku bin merkaado	Jayp'éel k'iino'ob ku bino'ob merkaado	PERSON:3_PL
Jayp'éel k'iino'ob ku bin merkaado	Jayp'éel k'iino'ob ka bine'ex merkaado	PERSON:2_PL
Jayp'éel k'iino'ob ku bino'ob merkaado	Jayp'éel k'iino'ob ku bin merkaado	PERSON:3_SI
Jayp'éel k'iino'ob ku bino'ob merkaado	Jayp'éel k'iino'ob ka bine'ex merkaado	PERSON:2_PL
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ku bin merkaado	PERSON:3_SI
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ku bino'ob merkaado	PERSON:3_PL
Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	PERSON:3_SI
jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	PERSON:3_SI
Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jbinech yéetel a éetailo'ob merkaado	Jbino'ob yéetel u éetailo'ob merkaado	PERSON:3_PL
Jbinech yéetel a éetailo'ob merkaado	Jbine'ex yéetel a éetailo'ob merkaado	PERSON:2_PL
Jbino'ob yéetel u éetailo'ob merkaado	Jbinech yéetel a éetailo'ob merkaado	PERSON:2_SI
Jbino'ob yéetel u éetailo'ob merkaado	Jbine'ex yéetel a éetailo'ob merkaado	PERSON:2_PL
Jbine'ex yéetel a éetailo'ob merkaado	Jbinech yéetel a éetailo'ob merkaado	PERSON:2_SI
Jbine'ex yéetel a éetailo'ob merkaado	Jbino'ob yéetel u éetailo'ob merkaado	PERSON:3_PL
Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	PERSON:3_PL
Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	PERSON:2_PL
Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	PERSON:2_SI
Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	PERSON:2_PL
Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	PERSON:2_SI
Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	PERSON:3_PL
Leti'e' bin áalkab te' taam paarkéeo'	Te'exe' bine'ex áalkab te' taam paarkéeo'	PERSON:2_PL
Leti'e' bin áalkab te' taam paarkéeo'	To'one' bino'on áalkab te' taam paarkéeo'	PERSON:1_PL
Leti'e' bin áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	PERSON:3_PL
Te'exe' bine'ex áalkab te' taam paarkéeo'	Leti'e' bin áalkab te' taam paarkéeo'	PERSON:3_SI
Te'exe' bine'ex áalkab te' taam paarkéeo'	To'one' bino'on áalkab te' taam paarkéeo'	PERSON:1_PL
Te'exe' bine'ex áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	PERSON:3_PL
To'one' bino'on áalkab te' taam paarkéeo'	Leti'e' bin áalkab te' taam paarkéeo'	PERSON:3_SI
To'one' bino'on áalkab te' taam paarkéeo'	Te'exe' bine'ex áalkab te' taam paarkéeo'	PERSON:2_PL
To'one' bino'on áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	PERSON:3_PL
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	Leti'e' bin áalkab te' taam paarkéeo'	PERSON:3_SI
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	Te'exe' bine'ex áalkab te' taam paarkéeo'	PERSON:2_PL
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	To'one' bino'on áalkab te' taam paarkéeo'	PERSON:1_PL
Jsa'atech wáaj te' paarkéeo'	Bix a sa'atal paarkée	SUBTYPE:INT;ASPECT:NA;ADVTENSE:A
Jweenech ich kool	Jweeno'ob ich kool	PERSON:3_PL
Jweenech ich kool	Jweene'ex ich kool	PERSON:2_PL
Jweeno'ob ich kool	Jweenech ich kool	PERSON:2_SI
Jweeno'ob ich kool	Jweene'ex ich kool	PERSON:2_PL
Jweene'ex ich kool	Jweenech ich kool	PERSON:2_SI
Jweene'ex ich kool	Jweeno'ob ich kool	PERSON:3_PL
Jweeno'ob merkaado	Jweene'ex merkaado	PERSON:2_PL
Jweene'ex merkaado	Jweeno'ob merkaado	PERSON:3_PL
ku yu'ubik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
ku yu'ubik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
ku yu'ubik wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
ku yu'ubik wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
To'one' k u'uyik wáaj ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
To'one' k u'uyik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
To'one' k u'uyik wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
To'one' k u'uyik wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
To'one' k u'uyik wáaj ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
To'one' k u'uyik wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
To'one' k u'uyik wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
To'one' k u'uyik wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
Te'exe' ka wu'uyike'ex wáaj ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
Te'exe' ka wu'uyike'ex wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Te'exe' ka wu'uyike'ex wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Te'exe' ka wu'uyike'ex wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
Leti'o'obe' ku yu'ubiko'ob ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
Leti'o'obe' ku yu'ubiko'ob ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Leti'o'obe' ku yu'ubiko'ob ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Leti'o'obe' ku yu'ubiko'ob ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
Ka'abeje' yaan a bin koonol merkaado	Ka'abeje' yaan u bino'ob koonol merkaado	PERSON:3_PL
Ka'abeje' yaan a bin koonol merkaado	Ka'abeje' yaan a bine'ex koonol merkaado	PERSON:2_PL
Ka'abeje' yaan u bino'ob koonol merkaado	Ka'abeje' yaan a bin koonol merkaado	PERSON:2_SI
Ka'abeje' yaan u bino'ob koonol merkaado	Ka'abeje' yaan a bine'ex koonol merkaado	PERSON:2_PL
Ka'abeje' yaan a bine'ex koonol merkaado	Ka'abeje' yaan a bin koonol merkaado	PERSON:2_SI
Ka'abeje' yaan a bine'ex koonol merkaado	Ka'abeje' yaan u bino'ob koonol merkaado	PERSON:3_PL
Ka'abeje' yaan a bin koonol	Ka'abeje' yaan u bino'ob koonol	PERSON:3_PL
Ka'abeje' yaan a bin koonol	Ka'abeje' yaan a bine'ex koonol	PERSON:2_PL
Ka'abeje' yaan u bino'ob koonol	Ka'abeje' yaan a bin koonol	PERSON:2_SI
Ka'abeje' yaan u bino'ob koonol	Ka'abeje' yaan a bine'ex koonol	PERSON:2_PL
Ka'abeje' yaan a bine'ex koonol	Ka'abeje' yaan a bin koonol	PERSON:2_SI
Ka'abeje' yaan a bine'ex koonol	Ka'abeje' yaan u bino'ob koonol	PERSON:3_PL
Ki'imak a wóol a bin ich kool	Ki'imak u yóolo'ob u bino'ob tu koolo'ob	PERSON:3_PL
Ki'imak u yóolo'ob u bino'ob tu koolo'ob	Ki'imak a wóol a bin ich kool	PERSON:2_SI
Ki'imak a wóol a bin merkaado	Ki'imak u yóolo'ob u bino'ob merkaado	PERSON:3_PL
Ki'imak u yóolo'ob u bino'ob merkaado	Ki'imak a wóol a bin merkaado	PERSON:2_SI
Je'el in bin koonol tu k'íiwikil koonole'	Ts'o'ok in bin koonol tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Je'el in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
Ts'o'ok wáaj in jóok'ol koonol tu k'íiwikil koonol	Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol	ASPECT:COM;TENSE:FUT_SIM
Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol	Ts'o'ok wáaj in jóok'ol koonol tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:PRG
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Ka wiliken merkaado	Kin wilike'ex merkaado	PERSON:1_PL
Kin wilike'ex merkaado	Ka wiliken merkaado	PERSON:2_SI
Yaan in wilikech te' tu kúuchil báaxalo'	Táant in wilikech te' tu kúuchil báaxalo'	ASPECT:IMM;TENSE:PAS_SIM
Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	Leti'e' ma' áak'ab wáaj ku bin tu k'íiwikil koonoli'	TYPE:NEG;SUBTYPE:INT;PERSON:2_SI
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
Ma' k'aja'antech buka'aj a ja'abili'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	PERSON:3_PL
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	PERSON:2_PL
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	PERSON:3_PL
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
