Source	Target	Change
Ye' bák i skö́k	Ye' bák i skö́k	NOCHANGE
Kë̀ àrros tò̠nu̠k ñè̠	Kë̀ àrros tò̠nu̠k ñè̠	NOCHANGE
Ye' kë̀ ku̠'bak kàsir tö́k	Ye' kë̀ ku̠'bak kàsir tö́k	NOCHANGE
A' e̠' tkö̀rö	A' e̠' tkö̀rö	NOCHANGE
Buà me̠r kàl ulà ki̠	Buà me̠r kàl ulà ki̠	NOCHANGE
Ye' dör àrros ta̠wé̠ ñè̠	Ye' dör àrros ta̠wé̠ ñè̠	NOCHANGE
Ye' shkó	Ye' shkó	NOCHANGE
Be' bák i skö́k	Be' bák i skö́k	NOCHANGE
Be' ujtó	Be' ujtó	NOCHANGE
Kë̀ àrros ta̠u̠k ñè̠	Kë̀ àrros ta̠u̠k ñè̠	NOCHANGE
Chìchi kë̀ wa̠ Po'tak kö́rule	Chìchi kë̀ wa̠ Po'tak kö́rule	NOCHANGE
Kë̀ be' a̠ ye' tsí bír	Kë̀ be' a̠ ye' tsí bír	NOCHANGE
Ye' tso shkö́k	Ye' tso shkö́k	NOCHANGE
Kàsir të̀rdâ	Kàsir të̀rdâ	NOCHANGE
Po'tak kö̀rke̠	Po'tak kö̀rke̠	NOCHANGE
Be' dör ye' tsí biö́!	Be' dör ye' tsí biö́!	NOCHANGE
Be' e̠' tkö́rö	Be' e̠' tkö́rö	NOCHANGE
Po'tak kuö́	Po'tak kuö́	NOCHANGE
Ye' a̠ àrros tó̠r ñè̠	Ye' a̠ àrros tó̠r ñè̠	NOCHANGE
Kë̀ Po'tak kö̀nu̠k	Kë̀ Po'tak kö̀nu̠k	NOCHANGE
Se' shkö̀	Se' shkö̀	NOCHANGE
Chìchi kë̀ wa̠ Po'tak kö̀ne̠	Chìchi kë̀ wa̠ Po'tak kö̀ne̠	NOCHANGE
Ie' dawö̀râwa̠	Ie' dawö̀râwa̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠	Ye' dör àrros tó̠ ñè̠	NOCHANGE
Ye' dör àrros ta̠wè̠râ ñè̠	Ye' dör àrros ta̠wè̠râ ñè̠	NOCHANGE
Ye' tö kàsir tèrâ	Ye' tö kàsir tèrâ	NOCHANGE
Kë̀ chìchi tö Po'tak kuèku̠	Kë̀ chìchi tö Po'tak kuèku̠	NOCHANGE
Be' tso ye' tsí biö́k	Be' tso ye' tsí biö́k	NOCHANGE
Kàsir të̀rke̠	Kàsir të̀rke̠	NOCHANGE
Sa' kë̀ ku̠ i skö́k	Sa' kë̀ ku̠ i skö́k	NOCHANGE
Ye' kë̀ ku̠ shkö́k	Ye' kë̀ ku̠ shkö́k	NOCHANGE
Ye' tso ujtö́k	Ye' tso ujtö́k	NOCHANGE
Be' e̠' tkére	Be' e̠' tkére	NOCHANGE
Kë̀ kàsir të̀rpa	Kë̀ kàsir të̀rpa	NOCHANGE
Be' é̠n a̠ ye' tsí bia'ku̠	Be' é̠n a̠ ye' tsí bia'ku̠	NOCHANGE
Kë̀ Po'tak kö̀rpa	Kë̀ Po'tak kö̀rpa	NOCHANGE
Chìchi tö Po'tak kuémi̠	Chìchi tö Po'tak kuémi̠	NOCHANGE
Chìchi a̠ Po'tak kö́r	Chìchi a̠ Po'tak kö́r	NOCHANGE
Ie' kë̀ ku'bak dawö́kwa̠	Ie' kë̀ ku'bak dawö́kwa̠	NOCHANGE
Kë̀ kàsir tër	Kë̀ kàsir tër	NOCHANGE
Be' dör ye' tsí bièmi̠	Be' dör ye' tsí bièmi̠	NOCHANGE
Ie' dawö̀kè̠wa̠	Ie' dawö̀kè̠wa̠	NOCHANGE
Kë̀ ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠	Kë̀ ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠	NOCHANGE
Ie' út	Ie' út	NOCHANGE
Buà kë̀ ku'ba̠k dapárke kàl ulà ki̠	Buà kë̀ ku'ba̠k dapárke kàl ulà ki̠	NOCHANGE
Ye' tso i skö́k	Ye' tso i skö́k	NOCHANGE
Ye' kë̀ wa̠ àrros tó̠rule ñè̠	Ye' kë̀ wa̠ àrros tó̠rule ñè̠	NOCHANGE
Kë̀ ie' dawö̀pawa̠	Kë̀ ie' dawö̀pawa̠	NOCHANGE
Ie'pa kë̀ ku̠ i skö́k	Ie'pa kë̀ ku̠ i skö́k	NOCHANGE
Se' e̠' tkö̀rö	Se' e̠' tkö̀rö	NOCHANGE
Kàsir të̀rmi̠	Kàsir të̀rmi̠	NOCHANGE
Àrros ta̠wè̠râ ñè̠	Àrros ta̠wè̠râ ñè̠	NOCHANGE
Ye' tso àrros ta̠ú̠k ñè̠	Ye' tso àrros ta̠ú̠k ñè̠	NOCHANGE
Ye' kë̀ ku̠'bak shkö́k	Ye' kë̀ ku̠'bak shkö́k	NOCHANGE
Àrros tò̠r ñè̠	Àrros tò̠r ñè̠	NOCHANGE
Be' wa̠ ye' tsí bia'	Be' wa̠ ye' tsí bia'	NOCHANGE
Be' e̠' tkë'rë	Be' e̠' tkë'rë	NOCHANGE
Shkàr	Shkàr	NOCHANGE
Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠	NOCHANGE
Kë̀ ye' tö kàsir tèku̠	Kë̀ ye' tö kàsir tèku̠	NOCHANGE
Ye' bák shkö́k	Ye' bák shkö́k	NOCHANGE
Ie' tö bö' yë'stsa̠	Ie' tö bö' yë'stsa̠	NOCHANGE
Ye' shka'	Ye' shka'	NOCHANGE
Ye' ujté	Ye' ujté	NOCHANGE
Kë̀ kàsir të̀rku̠	Kë̀ kàsir të̀rku̠	NOCHANGE
Kë̀ ye' shko	Kë̀ ye' shko	NOCHANGE
Be' ujtö́	Be' ujtö́	NOCHANGE
Kë̀ kàsir të̀ne̠	Kë̀ kàsir të̀ne̠	NOCHANGE
Wë́m bák dur stsö́k	Wë́m bák dur stsö́k	NOCHANGE
Se' kë̀ ku̠'bak i skö́k	Se' kë̀ ku̠'bak i skö́k	NOCHANGE
Ie'pa tso i skö́k	Ie'pa tso i skö́k	NOCHANGE
Kë̀ shkàrku̠	Kë̀ shkàrku̠	NOCHANGE
Ye' ujtö̀	Ye' ujtö̀	NOCHANGE
Sa' út	Sa' út	NOCHANGE
Àrros ta̠ú̠ ñè̠	Àrros ta̠ú̠ ñè̠	NOCHANGE
Ye' kë̀ ku̠ àrros ta̠ú̠k ñè̠	Ye' kë̀ ku̠ àrros ta̠ú̠k ñè̠	NOCHANGE
Po'tak kö̀rdâ	Po'tak kö̀rdâ	NOCHANGE
Kë̀ shkàne̠	Kë̀ shkàne̠	NOCHANGE
Ye' e̠' tkére	Ye' e̠' tkére	NOCHANGE
Kë̀ ye' tsí bìrpa	Kë̀ ye' tsí bìrpa	NOCHANGE
Kë̀ shkànu̠k	Kë̀ shkànu̠k	NOCHANGE
Ye' tsí bìrmi̠	Ye' tsí bìrmi̠	NOCHANGE
Ye' út	Ye' út	NOCHANGE
Po'tak kö̀na̠	Po'tak kö̀na̠	NOCHANGE
Be' kë̀ ku̠ i skö́k	Be' kë̀ ku̠ i skö́k	NOCHANGE
Ie' e̠' tkë'rë	Ie' e̠' tkë'rë	NOCHANGE
Shkárule	Shkárule	NOCHANGE
Be' dör ye' tsí bi'	Be' dör ye' tsí bi'	NOCHANGE
Se' kë̀ ku̠ i skö́k	Se' kë̀ ku̠ i skö́k	NOCHANGE
Wë́pa ië'te̠n stsö́k	Wë́pa ië'te̠n stsö́k	NOCHANGE
Kë̀ be' shkök	Kë̀ be' shkök	NOCHANGE
Ye' kë̀ wa̠ i síne̠	Ye' kë̀ wa̠ i síne̠	NOCHANGE
Ye' wa̠ àrros tó̠rule ñè̠	Ye' wa̠ àrros tó̠rule ñè̠	NOCHANGE
Ie'pa e̠' tkére	Ie'pa e̠' tkére	NOCHANGE
Kë̀ chìchi tö Po'tak kuèpa	Kë̀ chìchi tö Po'tak kuèpa	NOCHANGE
A' út	A' út	NOCHANGE
Ie kë̀ dùnè̠wa̠	Ie kë̀ dùnè̠wa̠	NOCHANGE
Kë̀ ye' shkö	Kë̀ ye' shkö	NOCHANGE
Kë̀ ye' tsí biar	Kë̀ ye' tsí biar	NOCHANGE
Kë̀ ye' dör àrros ta̠u̠k ñè̠	Kë̀ ye' dör àrros ta̠u̠k ñè̠	NOCHANGE
Ie' kë̀ ku̠ dawö́kwa̠	Ie' kë̀ ku̠ dawö́kwa̠	NOCHANGE
Ie' e̠' tkére	Ie' e̠' tkére	NOCHANGE
Ie' bák i skö́k	Ie' bák i skö́k	NOCHANGE
Kë̀ be' dör ye' tsí bièpa	Kë̀ be' dör ye' tsí bièpa	NOCHANGE
Wë́pa bák ië'te̠n stsö́k	Wë́pa bák ië'te̠n stsö́k	NOCHANGE
Kë̀ Po'tak kö̀ne̠	Kë̀ Po'tak kö̀ne̠	NOCHANGE
Ye' dör àrros ta̠wè̠mi̠ ñè̠	Ye' dör àrros ta̠wè̠mi̠ ñè̠	NOCHANGE
Kë̀ ye' shkàne̠	Kë̀ ye' shkàne̠	NOCHANGE
Kàsir të̀r	Kàsir të̀r	NOCHANGE
Se' e̠' tkë'rë	Se' e̠' tkë'rë	NOCHANGE
Kë̀ ye' dör àrros ta̠wè̠ku̠ ñè̠	Kë̀ ye' dör àrros ta̠wè̠ku̠ ñè̠	NOCHANGE
Ye' tso i kímu̠k	Ye' tso i kímu̠k	NOCHANGE
Ye' dör àrros ta̠wé̠mi̠ ñè̠	Ye' dör àrros ta̠wé̠mi̠ ñè̠	NOCHANGE
Kë̀ ye' tö kàsir tèpa	Kë̀ ye' tö kàsir tèpa	NOCHANGE
Ie' tö bö' yéstsa̠	Ie' tö bö' yéstsa̠	NOCHANGE
Ie' kë̀ ku̠ i skö́k	Ie' kë̀ ku̠ i skö́k	NOCHANGE
Buà kë̀ ku̠ me̠r kàl ulà ki̠	Buà kë̀ ku̠ me̠r kàl ulà ki̠	NOCHANGE
Ye' shké	Ye' shké	NOCHANGE
Sa' bák i skö́k	Sa' bák i skö́k	NOCHANGE
Se' tso i skö́k	Se' tso i skö́k	NOCHANGE
Kë̀ kàsir tök	Kë̀ kàsir tök	NOCHANGE
Alà tö ali' ña̠'	Alà tö ali' ña̠'	NOCHANGE
Kë̀ kàsir tënu̠k	Kë̀ kàsir tënu̠k	NOCHANGE
Ye' tö i wámbalë'	Ye' tö i wámbalë'	NOCHANGE
Ye' tsí bìrke̠	Ye' tsí bìrke̠	NOCHANGE
Ye' dör àrros ta̠wè̠ ñè̠	Ye' dör àrros ta̠wè̠ ñè̠	NOCHANGE
Kë̀ àrros tò̠ne̠ ñè̠	Kë̀ àrros tò̠ne̠ ñè̠	NOCHANGE
Ye' shkémi̠	Ye' shkémi̠	NOCHANGE
Chìchi bák Po'tak kuö́k	Chìchi bák Po'tak kuö́k	NOCHANGE
Chìchi é̠n a̠ Po'tak kua'ku̠	Chìchi é̠n a̠ Po'tak kua'ku̠	NOCHANGE
A' kë̀ ku̠'bak i skö́k	A' kë̀ ku̠'bak i skö́k	NOCHANGE
Ye' shkö̀mi̠	Ye' shkö̀mi̠	NOCHANGE
Kë̀ ye' tsí bìne̠	Kë̀ ye' tsí bìne̠	NOCHANGE
Ie' tö bö' yéulur	Ie' tö bö' yéulur	NOCHANGE
Se' e̠' tkére	Se' e̠' tkére	NOCHANGE
Be' dör ye' tsí bi'mi̠	Be' dör ye' tsí bi'mi̠	NOCHANGE
Sa' e̠' tkére	Sa' e̠' tkére	NOCHANGE
Ie' dawówa̠	Ie' dawówa̠	NOCHANGE
Kë̀ ye' tsí bir	Kë̀ ye' tsí bir	NOCHANGE
A' e̠' tkére	A' e̠' tkére	NOCHANGE
Kë̀ shkárule	Kë̀ shkárule	NOCHANGE
Sa' e̠' tkë'rë	Sa' e̠' tkë'rë	NOCHANGE
Ye' shkárule	Ye' shkárule	NOCHANGE
Sa' tso i skö́k	Sa' tso i skö́k	NOCHANGE
Sa' kë̀ ku̠'bak shkö́k	Sa' kë̀ ku̠'bak shkö́k	NOCHANGE
Kë̀ Po'tak kö̀rku̠	Kë̀ Po'tak kö̀rku̠	NOCHANGE
Ie' tö bö' yë'ulur	Ie' tö bö' yë'ulur	NOCHANGE
Shkàrdâ	Shkàrdâ	NOCHANGE
Ie' dúwa̠	Ie' dúwa̠	NOCHANGE
Kë̀ i wámbalë̀rpa	Kë̀ i wámbalë̀rpa	NOCHANGE
Be' dör ye' tsí bé	Be' dör ye' tsí bé	NOCHANGE
Ie'pa tö bö' yë'ulur	Ie'pa tö bö' yë'ulur	NOCHANGE
Chìchi kë̀ ku̠'bak Po'tak kuö́k	Chìchi kë̀ ku̠'bak Po'tak kuö́k	NOCHANGE
Ie' tso dawö́kwa̠	Ie' tso dawö́kwa̠	NOCHANGE
Ye' kë̀ wa̠ i kía̠mè̠ne̠	Ye' kë̀ wa̠ i kía̠mè̠ne̠	NOCHANGE
Kë̀ ye' shkök	Kë̀ ye' shkök	NOCHANGE
Se' út	Se' út	NOCHANGE
Ye' kë̀ wa̠ kàsir të́rule	Ye' kë̀ wa̠ kàsir të́rule	NOCHANGE
Po'tak kuö̀ sö	Po'tak kuö̀ sö	NOCHANGE
Shkàrmi̠	Shkàrmi̠	NOCHANGE
Kë̀ be' dör ye' tsí biök	Kë̀ be' dör ye' tsí biök	NOCHANGE
Po'tak kö̀r	Po'tak kö̀r	NOCHANGE
Ye' shkö̀râ	Ye' shkö̀râ	NOCHANGE
Ye' tsí bìne̠	Ye' tsí bìne̠	NOCHANGE
Be' dör ye' tsí biè	Be' dör ye' tsí biè	NOCHANGE
Kë̀ be' é̠n a̠ ye' tsí bia'ku̠	Kë̀ be' é̠n a̠ ye' tsí bia'ku̠	NOCHANGE
Wë́m dur stsö́k	Wë́m dur stsö́k	NOCHANGE
Ye' kë̀ shkárule	Ye' kë̀ shkárule	NOCHANGE
Ie' tso i skö́k	Ie' tso i skö́k	NOCHANGE
Be' kë̀ wa̠ ye' tsí bírule	Be' kë̀ wa̠ ye' tsí bírule	NOCHANGE
Be' shkö́	Be' shkö́	NOCHANGE
Kë̀ àrros to̠r ñè̠	Kë̀ àrros to̠r ñè̠	NOCHANGE
Kë̀ kàsir tar	Kë̀ kàsir tar	NOCHANGE
I kimú̠	I kimú̠	NOCHANGE
Ie'pa e̠' tkë'rë	Ie'pa e̠' tkë'rë	NOCHANGE
Ie' dawö̀wa̠mi̠	Ie' dawö̀wa̠mi̠	NOCHANGE
Kë̀ ye' shka'ku̠	Kë̀ ye' shka'ku̠	NOCHANGE
Ye' kë̀ shkàne̠	Ye' kë̀ shkàne̠	NOCHANGE
Be' kë̀ wa̠ ye' tsí bìne̠	Be' kë̀ wa̠ ye' tsí bìne̠	NOCHANGE
Shkàne̠	Shkàne̠	NOCHANGE
Be' dör ye' tsí bièrâ	Be' dör ye' tsí bièrâ	NOCHANGE
Kë̀ ye' tsí bìnu̠k	Kë̀ ye' tsí bìnu̠k	NOCHANGE
Kë̀ ye' dör àrros ta̠we̠ ñè̠	Kë̀ ye' dör àrros ta̠we̠ ñè̠	NOCHANGE
Ye' tö i skè	Ye' tö i skè	NOCHANGE
Buà kë̀ ku̠ dapárke kàl ulà ki̠	Buà kë̀ ku̠ dapárke kàl ulà ki̠	NOCHANGE
Sa' kë̀ ku̠'bak i skö́k	Sa' kë̀ ku̠'bak i skö́k	NOCHANGE
Sa' e̠' tkö̀rö	Sa' e̠' tkö̀rö	NOCHANGE
Kë̀ Po'tak kuwar	Kë̀ Po'tak kuwar	NOCHANGE
Ye' shkö̀ke̠	Ye' shkö̀ke̠	NOCHANGE
Ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠	Ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠	NOCHANGE
Kë̀ ye' a̠ àrros tó̠r ñè̠	Kë̀ ye' a̠ àrros tó̠r ñè̠	NOCHANGE
Ye' wa̠ kàsir ta'	Ye' wa̠ kàsir ta'	NOCHANGE
Kë̀ ye' tsí biök	Kë̀ ye' tsí biök	NOCHANGE
Ye' kë̀ ku̠ i skö́k	Ye' kë̀ ku̠ i skö́k	NOCHANGE
A' e̠' tkë'rë	A' e̠' tkë'rë	NOCHANGE
Ye' tsí bìna̠	Ye' tsí bìna̠	NOCHANGE
Ie'pa kë̀ ku̠'bak i skö́k	Ie'pa kë̀ ku̠'bak i skö́k	NOCHANGE
Ye' shka'ku̠	Ye' shka'ku̠	NOCHANGE
Kë̀ chìchi tö Po'tak kue	Kë̀ chìchi tö Po'tak kue	NOCHANGE
Ye' dör àrros tó̠mi̠ ñè̠	Ye' dör àrros tó̠mi̠ ñè̠	NOCHANGE
Wë́m kë̀ ku̠ dur stsö́k	Wë́m kë̀ ku̠ dur stsö́k	NOCHANGE
Kë̀ shkàrpa	Kë̀ shkàrpa	NOCHANGE
Be' a̠ ye' tsí bír	Be' a̠ ye' tsí bír	NOCHANGE
Chìchi tö Po'tak kuèke̠	Chìchi tö Po'tak kuèke̠	NOCHANGE
Ye' bák àrros ta̠ú̠k ñè̠	Ye' bák àrros ta̠ú̠k ñè̠	NOCHANGE
A' kë̀ ku̠ i skö́k	A' kë̀ ku̠ i skö́k	NOCHANGE
Be' bák ye' tsí biö́k	Be' bák ye' tsí biö́k	NOCHANGE
Ye' kë̀ ku̠'bak àrros ta̠ú̠k ñè̠	Ye' kë̀ ku̠'bak àrros ta̠ú̠k ñè̠	NOCHANGE
Ie' dawö̀wa̠	Ie' dawö̀wa̠	NOCHANGE
Shkàrke̠	Shkàrke̠	NOCHANGE
Kàsir të̀na̠	Kàsir të̀na̠	NOCHANGE
Kë̀ Po'tak kuök	Kë̀ Po'tak kuök	NOCHANGE
Shkàna̠	Shkàna̠	NOCHANGE
Ie'pa tö bö' yéstsa̠	Ie'pa tö bö' yéstsa̠	NOCHANGE
Ye' tö i sík	Ye' tö i sík	NOCHANGE
Ye' tso kàsir tö́k	Ye' tso kàsir tö́k	NOCHANGE
Ye' tö kàsir të'	Ye' tö kàsir të'	NOCHANGE
Wë́pa kë̀ ku̠'bak ië'te̠n stsö́k	Wë́pa kë̀ ku̠'bak ië'te̠n stsö́k	NOCHANGE
Be' dör ye' tsí bièke̠	Be' dör ye' tsí bièke̠	NOCHANGE
Ye' dör àrros ta̠wè̠ke̠ ñè̠	Ye' dör àrros ta̠wè̠ke̠ ñè̠	NOCHANGE
Kë̀ ye' tö kàsir tök	Kë̀ ye' tö kàsir tök	NOCHANGE
Àrros ta̠ú̠ ñè̠ sö	Àrros ta̠ú̠ ñè̠ sö	NOCHANGE
Chìchi tö Po'tak kö'mi̠	Chìchi tö Po'tak kö'mi̠	NOCHANGE
Ie' ujtö̀	Ie' ujtö̀	NOCHANGE
Kë̀ ye' é̠n a̠ kàsir ta'ku̠	Kë̀ ye' é̠n a̠ kàsir ta'ku̠	NOCHANGE
Kë̀ chìchi a̠ Po'tak kö́r	Kë̀ chìchi a̠ Po'tak kö́r	NOCHANGE
Chìchi tö Po'tak kuè	Chìchi tö Po'tak kuè	NOCHANGE
Ye' wa̠ sawë́ chka katárule	Ye' wa̠ sawë́ chka katárule	NOCHANGE
Chìchi dör bë̂rie	Chìchi dör bë̂rie	NOCHANGE
Ie'pa tö kàsir chka të'a	Ie'pa tö kàsir chka të'a	NOCHANGE
Ye' diö́köl bàtsul ako̠' a̠'mi̠k	Ye' diö́köl bàtsul ako̠' a̠'mi̠k	NOCHANGE
Ye' tso' dawèie	Ye' tso' dawèie	NOCHANGE
Ye'r i sú̠	Ye'r i sú̠	NOCHANGE
Ye' tö ù sú̠	Ye' tö ù sú̠	NOCHANGE
Pûs kapë'wa̠	Pûs kapë'wa̠	NOCHANGE
Ie' stsë' bua'	Ie' stsë' bua'	NOCHANGE
Ye' stsë'	Ye' stsë'	NOCHANGE
Chìchi dör sarûrû	Chìchi dör sarûrû	NOCHANGE
Ye' tö i kö́twa̠	Ye' tö i kö́twa̠	NOCHANGE
Ye' tö i búk	Ye' tö i búk	NOCHANGE
Ye' tö i kít	Ye' tö i kít	NOCHANGE
Ye' tö dawà su'	Ye' tö dawà su'	NOCHANGE
Ye' tö i̠ ña̠'wa	Ye' tö i̠ ña̠'wa	NOCHANGE
Wé̠shke̠ alákölpaë̀ tso	Wé̠shke̠ alákölpaë̀ tso	NOCHANGE
