Source	Target	Change
Te'exe' ts'oka'an wáaj a beele'ex	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Yaan u suut tu naajil xook	Yaan u suuto'ob tu naajil xook	PERSON:3_PL
J-jaanech merkaado	J-jaano'on merkaado	PERSON:1_PL
Yaan a boone'ex xook tu naajil xook	Yaan u boono'ob tu naajil xook	PERSON:3_PL
Yaan wáaj a bin koonol merkaado	Yaan wáaj u bin koonol merkaado	PERSON:3_SI
Bix a sa'atal paarkée	Bix a sa'atal paarkée	NOCHANGE
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'	TYPE:NEG;SUBTYPE:INT
Yaan k báaxal tu naajil báaxal	Yaan k báaxal tu naajil báaxal	NOCHANGE
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Teche' ajkoonolech ichil merkaado	Teche' ajkoonolech ichil merkaado	NOCHANGE
Tene' ma' áak'ab kin bin tu k'íiwikil koonoli'	Tene' ma' áak'ab kin bin tu k'íiwikil koonoli'	NOCHANGE
Yaan u xooko'ob tu naajil xook	Yaan u xooko'ob tu naajil xook	NOCHANGE
Ka'abeje' yaan a bin koonol	Ka'abeje' yaan a bin koonol	NOCHANGE
Ma' k'aja'anto'on buka'aj k ja'abili'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Ba'ax k'iin a bin tu k'íiwikil koonol	Ba'ax k'iin a bin tu k'íiwikil koonol	NOCHANGE
Yaan wáaj u bino'ob koonol merkaado	Yaan wáaj a bine'ex koonol merkaado	PERSON:2_PL
To'one' ts'oka'an wáaj k beel	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
Táan wáaj k boon tu naajil xook	Táan wáaj u boono'ob tu naajil xook	PERSON:3_PL
Tin meentik janal ich kool	Tin meentik janal ich kool	NOCHANGE
Ba'atelnaj te' tu kúuchil báaxalo'	Ba'atelnaj te' tu kúuchil báaxalo'	NOCHANGE
Teche' ti' a taali'	To'one' ti' in taalo'oni'	PERSON:1_PL
Yaan wáaj k báaxal tu naajil báaxal	Yaan wáaj u báaxal tu naajil báaxal	PERSON:3_SI
Ma' tan a k'íilkabe'exi'	Ma' tan a k'íilkabi'	PERSON:2_SI
Kin wilikech tu k'íiwikil koonol	Kin wilikech tu k'íiwikil koonol	NOCHANGE
Leti'e' yaan wáaj meyaj ti' biología	Leti'e' yaan wáaj meyaj ti' biología	NOCHANGE
Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	ASPECT:COM
Ook'in u bino'ob tu koolo'ob	Ook'in u bino'ob tu koolo'ob	NOCHANGE
Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ba'atelnajech te' tu kúuchil báaxalo'	PERSON:2_SI
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Te'exe' ajkoonole'ex ichil merkaado	To'one' ajkoonolo'on ichil merkaado	PERSON:1_PL
To'one' ti' in taalo'oni'	Teche' ti' a taali'	PERSON:2_SI
Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	Leti'e' bin áalkab te' taam paarkéeo'	PERSON:3_SI
Teche' ka bin páak ich kool	Te'exe' ka bine'ex páak tu kool	PERSON:2_PL
Ta meentike'ex janal ich kool	Ta meentike'ex janal ich kool	NOCHANGE
Ma' a wojele'ex u ja'abili'	Ma' u yojelo'ob u ja'abili'	PERSON:3_PL
Tene' ajkoonolen	Tene' ajkoonolen	NOCHANGE
Leti'e' ts'oka'an wáaj u beel	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Teche' Yaan tech meyaj biología	Teche' Yaan tech meyaj biología	NOCHANGE
Táan u bin koonol merkaado	Táan a bine'ex koonol merkaado	PERSON:2_PL
To'one' jbúulo'on	Te'exe' jbúule'ex	PERSON:2_PL
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Ma' tan a k'íilkabi'	Ma' tan u k'íilkabi'	PERSON:3_SI
To'one' ti' k taali'	Leti'obe' ti' u taalo'obi'	PERSON:3_PL
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Ma' ta wilaj u sáastal ta kaajali'	Ma' tak ilaj u sáastal k kaajali'	PERSON:1_PL
Ti' wáaj a taalo'obi'	Ti' wáaj a taalo'obi'	NOCHANGE
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'antech buka'aj a ja'abili'	PERSON:2_SI
Ka wiliken merkaado	Ka wiliken merkaado	NOCHANGE
Táan ek bin ich kool	Táan ek bin ich kool	NOCHANGE
Ki'imak a wóol a bin ich kool	Ki'imak u yóolo'ob u bino'ob tu koolo'ob	PERSON:3_PL
k ilaj wáaj u sáastal k kaajal	k ilaj wáaj u sáastal k kaajal	NOCHANGE
Yaan a xooke'ex xook tu naajil xook	Yaan k xook tu naajil xook	PERSON:1_PL
Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
Táan wáaj k boon tu naajil xook	Táan wáaj a boone'ex xook tu naajil xook	PERSON:2_PL
Yaan a báaxale'ex báaxal tu naajil báaxal	Yaan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Te'exe' bine'ex áalkab te' taam paarkéeo'	Leti'e' bin áalkab te' taam paarkéeo'	PERSON:3_SI
Ma' ta wiliken tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Te'exe' ti' a taale'exi'	Te'exe' ti' a taale'exi'	NOCHANGE
Jach k'a'abéet in bin merkaado	Jach k'a'abéet u bin merkaado	PERSON:3_SI
Ook'in a bine'ex ta koole'ex	Ook'in a bin ich kool	PERSON:2_SI
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan u bin koonol merkaadoi'	PERSON:3_SI
to'one' k báaxal tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
Leti'e' u jatsmajubáaj	To'one' k jatsmajekbáaj	PERSON:1_PL
Yaan ek jochik chak nal tek kool	Yaan a jochike'ex chak nal ta koole'ex	PERSON:2_PL
Ma' táan ek bin ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach wáaj k'a'abéet in bin k'íiwikil koonol	PERSON:1_SI
Yaan wáaj k báaxal tu naajil báaxal	Yaan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	PERSON:2_SI
Táan wáaj k bin koonol tu k'íiwikil koonol	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan a jochike'ex chak nal ta koole'ex	Yaan a jochike'ex chak nal ta koole'ex	NOCHANGE
Leti'e' ts'oka'an wáaj u beel	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Ts'oka'an wáaj u beelo'ob	Ts'oka'an wáaj k beel	PERSON:1_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	NOCHANGE
Máax yéetel taak a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	NOCHANGE
Suuk in wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:HAB
Tan a k'íilkabe'ex	Tan a k'íilkab	PERSON:2_SI
Leti'e' bin áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	PERSON:3_PL
Ta míistik in najil	Táan a míistik in najil	PERSON:2_SI
Ma' wáaj jach k'a'abéet u bin merkaadoi'	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	PERSON:3_PL
Teche' a jatsmajabáaj	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Jayp'éel k'iino'ob ka bin merkaado	Jayp'éel k'iino'ob ka bin merkaado	NOCHANGE
To'onen yaanto'on u áanalte'il k xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Jach k'a'abéet in bin tu k'íiwikil koonol	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Ka'abeje' yaan in bin tu k'íiwikil koonol	Ka'abeje' yaan in bin tu k'íiwikil koonol	NOCHANGE
Tu'ux kajakbale'ex	Tu'ux kajakbal	PERSON:3_SI
Yaan a bin paarkée	Yaan a bin paarkée	NOCHANGE
Leti'e' u k'aaba'e'	To'one' k k'aaba'e'	ASPECT:HAB;PERSON:1_PL
Te'exe' ts'oka'an wáaj a beele'ex	Teche' ts'oka'an wáaj a beel	PERSON:2_SI
k'aaynajen tu naajil xook	k'aaynajen tu naajil xook	NOCHANGE
Te'exe' ka bine'ex páak tu kool	Teche' ka bin páak ich kool	PERSON:2_SI
Tu yilaj wáaj u sáastal tu kaajal	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	PERSON:3_PL
Yaan wáaj u bin koonol merkaado	Yaan wáaj u bin koonol merkaado	NOCHANGE
Ma' ta wu'uyik  wáaj ooxoli'	Ma' ta wu'uyik  wáaj ooxoli'	NOCHANGE
Yaan a boone'ex xook tu naajil xook	Yaan a boone'ex xook tu naajil xook	NOCHANGE
Táan a suut tu naajil xook	Táan u suut tu naajil xook	PERSON:3_SI
Ma' wáaj ta bine'ex merkaado	Ma' wáaj ta bine'ex merkaado	NOCHANGE
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' tu yu'ubik wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	NOCHANGE
Táan wáaj u báaxal tu naajil báaxal	Táan wáaj k báaxal tu naajil báaxal	PERSON:1_PL
Ma' tan u k'íilkabo'obi'	Ma' tan u k'íilkabo'obi'	NOCHANGE
Táan k xook tu naajil xook	Táan a xook tu naajil xook	PERSON:2_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ma' ta wilaj u sáastal ta kaajali'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Táan wáaj u bino'ob koonol merkaado	Táan wáaj a bine'ex koonol merkaado	PERSON:2_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ma' tu yu'ubiko'ob ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Táan a bin koonol tu k'íiwikil koonol	Táan a bin koonol tu k'íiwikil koonol	NOCHANGE
