Source	Target	Change
Chéngo ndaikuaái upévape.	Ndéngo ndereikuaái upévape.	PERSON:2_SI
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra oñemoñaréi kuri	TYPE:AFF
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra naiñemoñaréita	TENSE:FUT_SIM
Ha’ekuéra naiñemoñaréi kuri	Ñande naiñañemoñaréi kuri	PERSON:1_PL_INC
Ha’ekuéra naiñemoñaréi kuri	Ore nairoñemoñaréi kuri	PERSON:1_PL_EXC
Ha’ekuéra naiñemoñaréi kuri	Peë naipeñemoñaréi kuri	PERSON:2_PL
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra ndoñemoñaréi	TENSE:PRE_SIM
Apurahéi kuri	Ndapurahéi kuri	TYPE:NEG
Apurahéi kuri	Apurahéihina kuri	ASPECT:IPFV
Apurahéi kuri	Apurahéi va’ekue	TENSE:PAS_PLU
Apurahéi kuri	Apurahéitta	TENSE:FUT_SIM
Apurahéi kuri	Ha’ekuéra opurahéikuri	PERSON:3_PL
He’i ka’i ruvicha ta’ýra kuérape	Che, ka’i ruvicha, ha’e che ta’yrakuérape	PERSON:1_SI
He’i ka’i ruvicha ta’ýra kuérape	Nde, ka’i ruvicha ere nde ta’yrakuérape	PERSON:2_SI
He’i ka’i ruvicha ta’ýra kuérape	He’i ka’i ruvicha ita’ýrakuérape	TYPE:NEG
Che nañemoingeta	Che nañemoingei	TENSE:PRE_SIM
Che nañemoingeta	Che añemoingeta	TYPE:AFF
Che nañemoingeta	Che nañemoingeimi	TENSE:PAS_IMP
Che nañemoingeta	Nde nareñemoingeta	PERSON:2_SI
Che nañemoingeta	Ore noroñemoingeta	PERSON:1_PL_EXC
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ojurata che aovevekuéra	TYPE:AFF
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurai kuri che aovevekuéra	TENSE:PAS_REC
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojuraimi che aovevekuéra	TENSE:PAS_IMP
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojuraiva’ekue che aovevekuéra	TENSE:PAS_PLU
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurai che aovevekuéra	TENSE:PRE_SIM
Che ajavými iñeikotevẽva akuápe	Che ndajavýimi iñeikotevẽva akuápe	TYPE:NEG
Che ajavými iñeikotevẽva akuápe	Che ajavýimi hína iñeikotevẽva akuápe	ASPECT:IPFV
Che ajavými iñeikotevẽva akuápe	Che ajavýta iñeikotevẽva akuápe	TENSE:FUT_SIM
Che ajavými iñeikotevẽva akuápe	Che ajavy iñeikotevẽva akuápe	TENSE:PRE_SIM
Che ajavými iñeikotevẽva akuápe	Nde rejavýimi iñeikotevẽva akuápe	PERSON:2_PL
Che ajavými iñeikotevẽva akuápe	Ñande jajavýimi iñeikotevẽva akuápe	PERSON:1_SI_INC
Che ajavými iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	PERSON:1_SI_EXC
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ore rokuave’ẽ umi tembi’ukuéra pytagua	TYPE:AFF
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽi hina umi tembi’ukuéra pytagua	ASPECT:IPFV
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽi ikóni umi tembi’ukuéra pytagua	ASPECT:INM
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	TENSE:PAS_IMP
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Ñande ndañakuave’ẽi umi tembi’ukuéra pytagua	PERSON:1_PL_INC
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Che ndaikuave’ẽi umi tembi’ukuéra pytagua	PERSON:1_SI
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	Nde ndereikuave’ẽi umi tembi’ukuéra pytagua	PERSON:2_PL
Nde reñembosarái hína	Nde reñembosarái	ASPECT:-
Nde reñembosarái hína	Nde nereñembosaráiri hína	TYPE:NEG
Nde reñembosarái hína	Che añembosarái hína	PERSON:1_SI
Nde reñembosarái hína	Nde reñembosarái ikóni	ASPECT:INM
Nde reñembosarái hína	Nde reñembosaráita hína	TENSE:FUT_SIM
Nde reñembosarái hína	Nde reñembosarái kuri hína	TENSE:PAS_REC
Nde reñembosarái hína	Ha’ekuéra oñembosarái hína	PERSON:3_PL
Amo ñemuha osapukái kuri	Amo ñemuha nosapukái kuri	TYPE:NEG
Amo ñemuha osapukái kuri	Umíva ñemuhakuéra osapukái kuri	PERSON:3_PL
Amo ñemuha osapukái kuri	Amo ñemuha osapukáita	TENSE:FUT_SIM
Amo ñemuha osapukái kuri	Amo ñemuha osapukái kuri hína	ASPECT:IPFV
Amo ñemuha osapukái kuri	Amo ñemuha osapukáiva’ekue	TENSE:PAS_PLU
Jaguarete katu itáicha okirirĩ.	Che katu itáicha akirirĩ.	PERSON:1_SI
Jaguarete katu itáicha okirirĩ.	Nde katu itáicha rekirirĩ.	PERSON:2_SI
Jaguarete katu itáicha okirirĩ.	Jaguarete katu itáicha ndokirirĩ.	TYPE:NEG
Jaguarete katu itáicha okirirĩ.	Jaguarete katu itáicha okirirĩta.	TENSE:FUT_SIM
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe ndomo’âi hembi’ukuéra.	TYPE:NEG
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe pemo’â penderembi’ukuéra.	PERSON:2_PL
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe remo’â nderembi’ukuéra.	PERSON:2_SI
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe amo’â cherembi’ukuéra.	PERSON:1_SI
Ha’e ojupi kuri	Che ajupi kuri	PERSON:1_SI
Ha’e ojupi kuri	Ñande jajupi kuri	PERSON:1_PL_INC
Ha’e ojupi kuri	Ha’e ojupi kuri hína	ASPECT:IPFV
Ha’e ojupi kuri	Ha’e ojupi kuri ikóni	ASPECT:INM
Ha’e ojupi kuri	Ha’e ojupita	TENSE:FUT_SIM
Ha’e ojupi kuri	Nde rejupi kuri	PERSON:2_SI
Ha’e ojupi kuri	Ha’e ndojupirí kuri	TYPE:NEG
Che mba’éma ko ykua	Nde mba’e ko ykua	PERSON:2_SI
Che mba’éma ko ykua	Ñande mba’e ko ykua	PERSON:1_SI_INC
Che mba’éma ko ykua	Ore mba’e ko ykua	PERSON:1_SI_EXC
Che mba’éma ko ykua	Ndachemba’ei ko ykua	TYPE:NEG
Che mba’éma ko ykua	Che mba’éta ko ykua	TENSE:FUT_SIM
Ha’e ndombojaruita	Ha’e ombojaruita	TYPE:AFF
Ha’e ndombojaruita	Nde nderembojarui mo’ãi	PERSON:2_SI
Ha’e ndombojaruita	Ha’e ndombojarui kuri	TENSE:PAS_REC
Ha’e ndombojaruita	Ha’e ndombojaruita hína	ASPECT:IPFV
Ha’e ndombojaruita	Che ndambojaruita	PERSON:1_SI
Ha’e oguapy	Hikuái oguapy	PERSON:3_PL
Ha’e oguapy	Ha’e ndoguapýi	TYPE:NEG
Ha’e oguapy	Che aguapy	PERSON:1_SI
Ha’e oguapy	Nde reguapy	PERSON:2_SI
Ha’e oguapy	Peẽ peguapy	PERSON:2_PL
Ha’e oguapy	Ha’e oguapýta	TENSE:FUT_SIM
Ha’e oguapy	Ha’e oguapýva’ekue	TENSE:PAS_PLU
Ha’e oguapy	Ha’e oguapýkuri	TENSE:PAS_REC
Nde nderemoheñói	Nde remoheñói	TYPE:AFF
Nde nderemoheñói	Nde nderemoheñóikuri	TENSE:PAS_REC;TYPE:AFF
Nde nderemoheñói	Ñande ndañamoheñói	PERSON:1_PL_INC
Nde nderemoheñói	Ha’ekuéra ndomoheñoi	PERSON:3_PL
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke	TYPE:AFF
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ha’e ndombotujaikuri hina che ogyke - Ha’e ndombyaikuri hina che ogyke	TENSE:PAS_REC
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Nde nderembotujáimi che ogyke - Nde nerembyaimi che ogyke	PERSON:2_SI
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke	PERSON:1_PL_INC
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ha’e ombotujáta che ogyke - Ha’e ombyaíta che ogyke	TENSE:FUT_SIM
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke	TENSE:PAS_PLU
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	PERSON:1_SI;TENSE:FUT_SIM
Ama oikomi ka’aguy hovy’ûvare	Nde reikomi ka’aguy hovy’ûvare	PERSON:2_SI
Ama oikomi ka’aguy hovy’ûvare	Ama ndoikomi ka’aguy hovy’ûvare	TYPE:NEG
Ama oikomi ka’aguy hovy’ûvare	Ama oiko ka’aguy hovy’ûvare	TENSE:PRE_SIM
Ama oikomi ka’aguy hovy’ûvare	Che aikomi ka’aguy hovy’ûvare	PERSON:1_SI
Oipuru hikuái ka’a ha ho’u terere.	Ñande jaipuru ka’a ha ja’u terere.	PERSON:1_PL_INC
Oipuru hikuái ka’a ha ho’u terere.	Ndoipurui hikuái ka’a térã ho’u terere.	TYPE:NEG
Oipuru hikuái ka’a ha ho’u terere.	Nde reipuru ka’a ha re’u terere.	PERSON:2_SI
Oipuru hikuái ka’a ha ho’u terere.	Oipuruta hikuái ka’a ha ho’uta terere.	TENSE:FUT_SIM
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy ndohenduká kuri chéve che ru.	TYPE:NEG
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy emohenduká kuri chéve nde.	PERSON:2_SI
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy pemohenduká kuri chéve peê.	PERSON:2_PL
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy ohendukáta chéve che ru.	TENSE:FUT_SIM
Ko mombe’upy ohenduká kuri chéve che ru.	Ko mombe’upy ohenduka chéve che ru.	TENSE:PRE_SIM
Upérö (che) añani hína kuri	Upérõ (che) añani hína	TENSE:PRE_SIM
Upérö (che) añani hína kuri	Upérõ (che) añanita hína	TENSE:FUT_SIM
Upérö (che) añani hína kuri	Upérõ (che) añanihínava’ekue	TENSE:PAS_PLU
Upérö (che) añani hína kuri	Upérõ (nde) reñanihínakuri	PERSON:2_SI
Upérö (che) añani hína kuri	Upérõ (ñande) ñañanihínakuri	PERSON:1_PL_INC
Okũmbymi hikuái	Okũmby kuri hikuái.	TENSE:PAS_REC
Okũmbymi hikuái	Okũmbyta hikuái.	TENSE:FUT_SIM
Okũmbymi hikuái	Ñande ñakũmbýimi	PERSON:1_PL_INC
Okũmbymi hikuái	Che akũmbymi	PERSON:1_SI
Okũmbymi hikuái	Ndokũmbýimi hikuái	TYPE:NEG
Nde nderejapói	Nde rejapo	TYPE:AFF
Nde nderejapói	Nde nderejapókuri	TENSE:PAS_REC;TYPE:AFF
Nde nderejapói	Ñande ndajajapói	PERSON:1_PL_INC
Nde nderejapói	Ha’ekuéra ndojapói	PERSON:3_PL
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’e tie’ỹ ojapopa	TENSE:PRE_SIM
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’ekuéra tie’ỹ ojapopami	PERSON:3_PL
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’e tie’ỹ nojapopami	TYPE:NEG
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’e tie’ỹ ojapopata	TENSE:FUT_SIM
Ore temimbo’e tie’ỹ ojapopami	Ore temimbo’e tie’ỹ ojapopava’ekue	TENSE:PAS_PLU
Che rasy	Che cherasy kuri	TENSE:PAS_REC
Che rasy	Che cherasy va’ekue	TENSE:PAS_PLU
Che rasy	Ndacherásyi	TYPE:NEG
Che rasy	Che rasypota hina	ASPECT:IPFV
Che rasy	Nde nderasy	PERSON:2_SI
Che rasy	Ha’e hasy	PERSON:3_SI
Che rasy	Ñande rasy	PERSON:1_PL_INC
Che rasy	Ore rorasy	PERSON:1_PL_EXC
Che rasy	Peê penderasy	PERSON:2_PL
