Source	Change	Target
Apurahéi kuri	TENSE:PAS_PLU	Apurahéi va’ekue
Apurahéi kuri	TENSE:FUT_SIM	Apurahéitta
Apurahéi kuri	PERSON:3_PL	Ha’ekuéra opurahéikuri
He’i ka’i ruvicha ta’ýra kuérape	PERSON:1_SI	"Che, ka’i ruvicha, ha’e che ta’yrakuérape"
He’i ka’i ruvicha ta’ýra kuérape	PERSON:2_SI	"Nde, ka’i ruvicha ere nde ta’yrakuérape"
He’i ka’i ruvicha ta’ýra kuérape	TYPE:NEG	He’i ka’i ruvicha ita’ýrakuérape
Che nañemoingeta	TENSE:PRE_SIM	Che nañemoingei
Che nañemoingeta	TYPE:AFF	Che añemoingeta
Che nañemoingeta	TENSE:PAS_IMP	Che nañemoingeimi
Che nañemoingeta	PERSON:2_SI	Nde nareñemoingeta
Che nañemoingeta	PERSON:1_PL_EXC	Ore noroñemoingeta
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	TYPE:AFF	Ijuru ñeimo’ã’ỹva ojurata che aovevekuéra
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	TENSE:PAS_REC	Ijuru ñeimo’ã’ỹva ndojurai kuri che aovevekuéra
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	TENSE:PAS_IMP	Ijuru ñeimo’ã’ỹva ndojuraimi che aovevekuéra
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	TENSE:PAS_PLU	Ijuru ñeimo’ã’ỹva ndojuraiva’ekue che aovevekuéra
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	TENSE:PRE_SIM	Ijuru ñeimo’ã’ỹva ndojurai che aovevekuéra
Che ajavými iñeikotevẽva akuápe	TYPE:NEG	Che ndajavýimi iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	ASPECT:IPFV	Che ajavýimi hína iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	TENSE:FUT_SIM	Che ajavýta iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	TENSE:PRE_SIM	Che ajavy iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	PERSON:2_PL	Nde rejavýimi iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	PERSON:1_SI_INC	Ñande jajavýimi iñeikotevẽva akuápe
Che ajavými iñeikotevẽva akuápe	PERSON:1_SI_EXC	Ore rojavýimi iñeikotevẽva akuápe
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	TYPE:AFF	Ore rokuave’ẽ umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	ASPECT:IPFV	Ore ndorokuave’ẽi hina umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	ASPECT:INM	Ore ndorokuave’ẽi ikóni umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	TENSE:PAS_IMP	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	PERSON:1_PL_INC	Ñande ndañakuave’ẽi umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	PERSON:1_SI	Che ndaikuave’ẽi umi tembi’ukuéra pytagua
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua	PERSON:2_PL	Nde ndereikuave’ẽi umi tembi’ukuéra pytagua
Nde reñembosarái hína	ASPECT:-	Nde reñembosarái
Nde reñembosarái hína	TYPE:NEG	Nde nereñembosaráiri hína
Nde reñembosarái hína	PERSON:1_SI	Che añembosarái hína
Nde reñembosarái hína	ASPECT:INM	Nde reñembosarái ikóni
Nde reñembosarái hína	TENSE:FUT_SIM	Nde reñembosaráita hína
Nde reñembosarái hína	TENSE:PAS_REC	Nde reñembosarái kuri hína
Nde reñembosarái hína	PERSON:3_PL	Ha’ekuéra oñembosarái hína
Amo ñemuha osapukái kuri	TYPE:NEG	Amo ñemuha nosapukái kuri
Amo ñemuha osapukái kuri	PERSON:3_PL	Umíva ñemuhakuéra osapukái kuri
Amo ñemuha osapukái kuri	TENSE:FUT_SIM	Amo ñemuha osapukáita
Amo ñemuha osapukái kuri	ASPECT:IPFV	Amo ñemuha osapukái kuri hína
Amo ñemuha osapukái kuri	TENSE:PAS_PLU	Amo ñemuha osapukáiva’ekue
Jaguarete katu itáicha okirirĩ.	PERSON:1_SI	Che katu itáicha akirirĩ.
Jaguarete katu itáicha okirirĩ.	PERSON:2_SI	Nde katu itáicha rekirirĩ.
Jaguarete katu itáicha okirirĩ.	TYPE:NEG	Jaguarete katu itáicha ndokirirĩ.
Jaguarete katu itáicha okirirĩ.	TENSE:FUT_SIM	Jaguarete katu itáicha okirirĩta.
Pakova roguépe omo’â hembi’ukuéra.	TYPE:NEG	Pakova roguépe ndomo’âi hembi’ukuéra.
Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_PL	Pakova roguépe pemo’â penderembi’ukuéra.
Pakova roguépe omo’â hembi’ukuéra.	PERSON:2_SI	Pakova roguépe remo’â nderembi’ukuéra.
Pakova roguépe omo’â hembi’ukuéra.	PERSON:1_SI	Pakova roguépe amo’â cherembi’ukuéra.
Ha’e ojupi kuri	PERSON:1_SI	Che ajupi kuri
Ha’e ojupi kuri	PERSON:1_PL_INC	Ñande jajupi kuri
Ha’e ojupi kuri	ASPECT:IPFV	Ha’e ojupi kuri hína
Ha’e ojupi kuri	ASPECT:INM	Ha’e ojupi kuri ikóni
Ha’e ojupi kuri	TENSE:FUT_SIM	Ha’e ojupita
Ha’e ojupi kuri	PERSON:2_SI	Nde rejupi kuri
Ha’e ojupi kuri	TYPE:NEG	Ha’e ndojupirí kuri
Che mba’éma ko ykua	PERSON:2_SI	Nde mba’e ko ykua
Che mba’éma ko ykua	PERSON:1_SI_INC	Ñande mba’e ko ykua
Che mba’éma ko ykua	PERSON:1_SI_EXC	Ore mba’e ko ykua
Che mba’éma ko ykua	TYPE:NEG	Ndachemba’ei ko ykua
Che mba’éma ko ykua	TENSE:FUT_SIM	Che mba’éta ko ykua
Ha’e ndombojaruita	TYPE:AFF	Ha’e ombojaruita
Ha’e ndombojaruita	PERSON:2_SI	Nde nderembojarui mo’ãi
Ha’e ndombojaruita	TENSE:PAS_REC	Ha’e ndombojarui kuri
Ha’e ndombojaruita	ASPECT:IPFV	Ha’e ndombojaruita hína
Ha’e ndombojaruita	PERSON:1_SI	Che ndambojaruita
Ha’e oguapy	PERSON:3_PL	Hikuái oguapy
Ha’e oguapy	TYPE:NEG	Ha’e ndoguapýi
Ha’e oguapy	PERSON:1_SI	Che aguapy
Ha’e oguapy	PERSON:2_SI	Nde reguapy
Ha’e oguapy	PERSON:2_PL	Peẽ peguapy
Ha’e oguapy	TENSE:FUT_SIM	Ha’e oguapýta
Ha’e oguapy	TENSE:PAS_PLU	Ha’e oguapýva’ekue
Ha’e oguapy	TENSE:PAS_REC	Ha’e oguapýkuri
Nde nderemoheñói	TYPE:AFF	Nde remoheñói
Nde nderemoheñói	"TENSE:PAS_REC, TYPE:AFF"	Nde nderemoheñóikuri
Nde nderemoheñói	PERSON:1_PL_INC	Ñande ndañamoheñói
Nde nderemoheñói	PERSON:3_PL	Ha’ekuéra ndomoheñoi
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TYPE:AFF	Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:PAS_REC	Ha’e ndombotujaikuri hina che ogyke - Ha’e ndombyaikuri hina che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	PERSON:2_SI	Nde nderembotujáimi che ogyke - Nde nerembyaimi che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	PERSON:1_PL_INC	Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:FUT_SIM	Ha’e ombotujáta che ogyke - Ha’e ombyaíta che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	TENSE:PAS_PLU	Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke
Ha’e nombotujaimi che ogyke - Ha’e ndombyaimi che ogyke	"PERSON:1_SI, TENSE:FUT_SIM"	Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke
Ama oikomi ka’aguy hovy’ûvare	PERSON:2_SI	Nde reikomi ka’aguy hovy’ûvare
Ama oikomi ka’aguy hovy’ûvare	TYPE:NEG	Ama ndoikomi ka’aguy hovy’ûvare
Ama oikomi ka’aguy hovy’ûvare	TENSE:PRE_SIM	Ama oiko ka’aguy hovy’ûvare
Ama oikomi ka’aguy hovy’ûvare	PERSON:1_SI	Che aikomi ka’aguy hovy’ûvare
Oipuru hikuái ka’a ha ho’u terere.	PERSON:1_PL_INC	Ñande jaipuru ka’a ha ja’u terere.
Oipuru hikuái ka’a ha ho’u terere.	TYPE:NEG	Ndoipurui hikuái ka’a térã ho’u terere.
Oipuru hikuái ka’a ha ho’u terere.	PERSON:2_SI	Nde reipuru ka’a ha re’u terere.
Oipuru hikuái ka’a ha ho’u terere.	TENSE:FUT_SIM	Oipuruta hikuái ka’a ha ho’uta terere.
Ko mombe’upy ohenduká kuri chéve che ru.	TYPE:NEG	Ko mombe’upy ndohenduká kuri chéve che ru.
Ko mombe’upy ohenduká kuri chéve che ru.	PERSON:2_SI	Ko mombe’upy emohenduká kuri chéve nde.
Ko mombe’upy ohenduká kuri chéve che ru.	PERSON:2_PL	Ko mombe’upy pemohenduká kuri chéve peê.
Ko mombe’upy ohenduká kuri chéve che ru.	TENSE:FUT_SIM	Ko mombe’upy ohendukáta chéve che ru.
Ko mombe’upy ohenduká kuri chéve che ru.	TENSE:PRE_SIM	Ko mombe’upy ohenduka chéve che ru.
Upérö (che) añani hína kuri	TENSE:PRE_SIM	Upérõ (che) añani hína
Upérö (che) añani hína kuri	TENSE:FUT_SIM	Upérõ (che) añanita hína
Upérö (che) añani hína kuri	TENSE:PAS_PLU	Upérõ (che) añanihínava’ekue
Upérö (che) añani hína kuri	PERSON:2_SI	Upérõ (nde) reñanihínakuri
Upérö (che) añani hína kuri	PERSON:1_PL_INC	Upérõ (ñande) ñañanihínakuri
Okũmbymi hikuái	TENSE:PAS_REC	Okũmby kuri hikuái.
Okũmbymi hikuái	TENSE:FUT_SIM	Okũmbyta hikuái.
Okũmbymi hikuái	PERSON:1_PL_INC	Ñande ñakũmbýimi
Okũmbymi hikuái	PERSON:1_SI	Che akũmbymi
Okũmbymi hikuái	TYPE:NEG	Ndokũmbýimi hikuái
Nde nderejapói	TYPE:AFF	Nde rejapo
Nde nderejapói	"TENSE:PAS_REC, TYPE:AFF"	Nde nderejapókuri
Nde nderejapói	PERSON:1_PL_INC	Ñande ndajajapói
Nde nderejapói	PERSON:3_PL	Ha’ekuéra ndojapói
Ore temimbo’e tie’ỹ ojapopami	TENSE:PRE_SIM	Ore temimbo’e tie’ỹ ojapopa
Ore temimbo’e tie’ỹ ojapopami	PERSON:3_PL	Ore temimbo’ekuéra tie’ỹ ojapopami
Ore temimbo’e tie’ỹ ojapopami	TYPE:NEG	Ore temimbo’e tie’ỹ nojapopami
Ore temimbo’e tie’ỹ ojapopami	TENSE:FUT_SIM	Ore temimbo’e tie’ỹ ojapopata
Ore temimbo’e tie’ỹ ojapopami	TENSE:PAS_PLU	Ore temimbo’e tie’ỹ ojapopava’ekue
Che rasy	TENSE:PAS_REC	Che cherasy kuri
Che rasy	TENSE:PAS_PLU	Che cherasy va’ekue
Che rasy	TYPE:NEG	Ndacherásyi
Che rasy	ASPECT:IPFV	Che rasypota hina
Che rasy	PERSON:2_SI	Nde nderasy
Che rasy	PERSON:3_SI	Ha’e hasy
Che rasy	PERSON:1_PL_INC	Ñande rasy
Che rasy	PERSON:1_PL_EXC	Ore rorasy
Che rasy	PERSON:2_PL	Peê penderasy
