Source	Change	Target
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_SI"	Be' kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:2_SI"	Be' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:2_SI"	Be' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_SI"	Ie' tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_SI"	Ie' kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:3_SI"	Ie' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:3_SI"	Ie' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_EXC"	Sa' tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_EXC"	Sa' kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:1_PL_EXC"	Sa' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:1_PL_EXC"	Sa' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_INC"	Se' tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:1_PL_INC"	Se' kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:1_PL_INC"	Se' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:1_PL_INC"	Se' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_PL"	A' tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_PL"	A' kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:2_PL"	A' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:2_PL"	A' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_PL"	Ie'pa tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:3_PL"	Ie'pa kë̀ ku̠ i skö́k
Ye' tö i sík	"TENSE:PRF_PROG, PERSON:3_PL"	Ie'pa bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG, PERSON:3_PL"	Ie'pa kë̀ ku̠'bak i skö́k
Ye' tö i sík	"VOICE:MID, PERSON:3_SI"	I síne̠
Ye' tö i sík	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:3_SI"	I sír
Ye' tö i kíme̠'	"TYPE:NEG, TENSE:PRF_REC"	Ye' kë̀ wa̠ i kía̠mè̠ne̠
Ye' tö i kíme̠'	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso i kímu̠k
Ye' tö i kíme̠'	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	I kimú̠
Ye' tö i kíme̠'	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' tö i kimè̠
Ye' tö i kíme̠'	"TENSE:IPFV_HAB, ASPECT:IPFV"	Ye' tö i kímè̠ke
Ye' dör àrros tó̠ ñè̠	TYPE:NEG	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠
Ye' dör àrros tó̠ ñè̠	ASPECT:INC	Ye' dör àrros tó̠mi̠ ñè̠
Ye' dör àrros tó̠ ñè̠	TENSE:PRF_REC	Ye' dör àrros ta̠wé̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:PRF_REC"	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:PRF_REC, ASPECT:INC"	Ye' dör àrros ta̠wé̠mi̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' dör àrros ta̠wè̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' dör àrros ta̠we̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso àrros ta̠ú̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' kë̀ ku̠ àrros ta̠ú̠k ñè̠
Ye' dör àrros tó̠ ñè̠	TENSE:PRF_PROG	Ye' bák àrros ta̠ú̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:PRF_PROG"	Ye' kë̀ ku̠'bak àrros ta̠ú̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	Àrros ta̠ú̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	Kë̀ àrros ta̠u̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ àrros ta̠wa̠r ñè̠
Ye' dör àrros tó̠ ñè̠	"MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:1_PL_INC"	Àrros ta̠ú̠ ñè̠ sö
Ye' dör àrros tó̠ ñè̠	"MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠
Ye' dör àrros tó̠ ñè̠	MODE:ADVERS	Ye' wa̠ àrros ta̠wa̠' ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:IPFV_HAB, ASPECT:IPFV"	Ye' dör àrros ta̠wè̠ke̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV"	Kë̀ ye' dör àrros ta̠wè̠ku̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:FUT_POT, ASPECT:IPFV"	Ye' dör àrros ta̠wè̠mi̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV"	Kë̀ ye' dör àrros ta̠u̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:FUT_CER, ASPECT:IPFV"	Ye' dör àrros ta̠wè̠râ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ ye' dör àrros ta̠wè̠pa ñè̠
Ye' dör àrros tó̠ ñè̠	"VOICE:MID, PERSON:NA"	Àrros tò̠ne̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, VOICE:MID, PERSON:NA"	Kë̀ àrros tò̠ne̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Àrros tò̠na̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Kë̀ àrros tò̠ne̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Àrros tò̠r ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ àrros to̠r ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Àrros ta̠wè̠ke̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ àrros ta̠wè̠ku̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Àrros ta̠wè̠mi̠ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ àrros tò̠nu̠k ñè̠
Ye' dör àrros tó̠ ñè̠	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Àrros ta̠wè̠râ ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ àrros ta̠wè̠pa ñè̠
Ye' dör àrros tó̠ ñè̠	TENSE:PAS_PLU	Ye' wa̠ àrros tó̠rule ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, TENSE:PAS_PLU"	Ye' kë̀ wa̠ àrros tó̠rule ñè̠
Ye' dör àrros tó̠ ñè̠	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Ye' a̠ àrros tó̠r ñè̠
Ye' dör àrros tó̠ ñè̠	"TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' a̠ àrros tó̠r ñè̠
Ye' tö kàsir të'	TYPE:NEG	Ye' kë̀ wa̠ kàsir të̀ne̠
Ye' tö kàsir të'	TENSE:PRF_REC	Ye' tö kàsir té
Ye' tö kàsir të'	"TYPE:NEG, TENSE:PRF_REC"	Ye' kë̀ wa̠ kàsir të̀ne̠
Ye' tö kàsir të'	ASPECT:INC	Ye' tö kàsir të'mi̠
Ye' tö kàsir të'	"TENSE:PRF_REC, ASPECT:INC"	Ye' tö kàsir témi̠
Ye' tö kàsir të'	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' tö kàsir tè
Ye' tö kàsir të'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' tö kàsir te
Ye' tö kàsir të'	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso kàsir tö́k
Ye' tö kàsir të'	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' kë̀ ku̠ kàsir tö́k
Ye' tö kàsir të'	TENSE:PRF_PROG	Ye' bák kàsir tö́k
Ye' tö kàsir të'	"TYPE:NEG, TENSE:PRF_PROG"	Ye' kë̀ ku̠'bak kàsir tö́k
Ye' tö kàsir të'	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	Kàsir tö́
Ye' tö kàsir të'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	Kë̀ kàsir tök
Ye' tö kàsir të'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ kàsir tar
Ye' tö kàsir të'	"MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:1_PL_INC"	Kàsir tö̀ sö
Ye' tö kàsir të'	"MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Ye' é̠n a̠ kàsir ta'ku̠
Ye' tö kàsir të'	"TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' é̠n a̠ kàsir ta'ku̠
Ye' tö kàsir të'	MODE:ADVERS	Ye' wa̠ kàsir ta'
Ye' tö kàsir të'	"TENSE:IPFV_HAB, ASPECT:IPFV"	Ye' tö kàsir tèke̠
Ye' tö kàsir të'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV"	Kë̀ ye' tö kàsir tèku̠
Ye' tö kàsir të'	"TENSE:FUT_POT, ASPECT:IPFV"	Ye' tö kàsir tèmi̠
Ye' tö kàsir të'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV"	Kë̀ ye' tö kàsir tök
Ye' tö kàsir të'	"TENSE:FUT_CER, ASPECT:IPFV"	Ye' tö kàsir tèrâ
Ye' tö kàsir të'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ ye' tö kàsir tèpa
Ye' tö kàsir të'	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kàsir të̀r
Ye' tö kàsir të'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ kàsir tër
Ye' tö kàsir të'	"VOICE:MID, PERSON:NA"	Kàsir të̀ne̠
Ye' tö kàsir të'	"TYPE:NEG, VOICE:MID, PERSON:NA"	Kë̀ kàsir të̀ne̠
Ye' tö kàsir të'	"TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Kàsir të̀na̠
Ye' tö kàsir të'	"TYPE:NEG, TENSE:PRF_REC, VOICE:MID, PERSON:NA"	Kë̀ kàsir të̀ne̠
Ye' tö kàsir të'	"TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kàsir të̀rke̠
Ye' tö kàsir të'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ kàsir të̀rku̠
Ye' tö kàsir të'	"TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kàsir të̀rmi̠
Ye' tö kàsir të'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ kàsir tënu̠k
Ye' tö kàsir të'	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kàsir të̀rdâ
Ye' tö kàsir të'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ kàsir të̀rpa
Ye' tö kàsir të'	TENSE:PAS_PLU	Ye' wa̠ kàsir të́rule
Ye' tö kàsir të'	"TYPE:NEG, TENSE:PAS_PLU"	Ye' kë̀ wa̠ kàsir të́rule
Ye' tö i wámbalë'	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:3_SI"	I wámbalë́r
Ye' tö i wámbalë'	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:3_SI"	I wámbalë́rdâ
Ye' tö i wámbalë'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, PERSON:3_SI"	Kë̀ i wámbalë̀rpa
Ye' út	PERSON:2_SI	Be' út
Ye' út	PERSON:3_SI	Ie' út
Ye' út	"ABSNUM:PL, PERSON:1_PL_EXC"	Sa' út
Ye' út	"ABSNUM:PL, PERSON:1_PL_INC"	Se' út
Ye' út	"ABSNUM:PL, PERSON:2_PL"	A' út
Ye' út	"ABSNUM:PL, PERSON:3_PL"	Ie'pa út
Ye' út	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso ujtö́k
Ye' út	TENSE:PRF_REC	Ye' ujté
Ye' út	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' ujtö̀
Ye' út	"TENSE:IPFV_REC, ASPECT:IPFV, PERSON:3_SI"	Ie' ujtö̀
Ye' út	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Be' ujtó
Ye' út	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Be' ujtö́
Ye' út	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:3_SI"	Ie' ujtó
Ye' út	"TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:3_SI"	Kë̀ ie' ujto
Buà me̠r kàl ulà ki̠	TYPE:NEG	Buà kë̀ ku̠ me̠r kàl ulà ki̠
Buà me̠r kàl ulà ki̠	"TENSE:PRF_REM, ASPECT:PFV"	Buà bák me̠r kàl ulà ki̠
Buà me̠r kàl ulà ki̠	"TYPE:NEG, TENSE:PRF_REM, ASPECT:PFV"	Buà kë̀ ku̠'bak me̠r kàl ulà ki̠
Buà me̠r kàl ulà ki̠	ABSNUM:PL	Buà dapárke kàl ulà ki̠
Buà me̠r kàl ulà ki̠	"TYPE:NEG, ABSNUM:PL"	Buà kë̀ ku̠ dapárke kàl ulà ki̠
Buà me̠r kàl ulà ki̠	"TENSE:PRF_REM, ASPECT:PFV, ABSNUM:PL"	Buà bák dapárke kàl ulà ki̠
Buà me̠r kàl ulà ki̠	"TYPE:NEG, TENSE:PRF_REM, ASPECT:PFV, ABSNUM:PL"	Buà kë̀ ku'ba̠k dapárke kàl ulà ki̠
Ie' tö bö' yë'stsa̠	ABSNUM:PL	Ie' tö bö' yë'ulur
Ie' tö bö' yë'stsa̠	TENSE:PRF_REC	Ie' tö bö' yéstsa̠
Ie' tö bö' yë'stsa̠	"TENSE:PRF_REC, ABSNUM:PL"	Ie' tö bö' yéulur
Ie' tö bö' yë'stsa̠	PERSON:3_PL	Ie'pa tö bö' yë'stsa̠
Ie' tö bö' yë'stsa̠	"ABSNUM:PL, PERSON:3_PL"	Ie'pa tö bö' yë'ulur
Ie' tö bö' yë'stsa̠	"TENSE:PRF_REC, PERSON:3_PL"	Ie'pa tö bö' yéstsa̠
Ie' tö bö' yë'stsa̠	"TENSE:PRF_REC, ABSNUM:PL, PERSON:3_PL"	Ie'pa tö bö' yéulur
Alà tö ali' ña̠'	TENSE:PRF_REC	Alà tö ali' ñé̠
Ie' dúwa̠	TYPE:NEG	Ie kë̀ dùnè̠wa̠
Ie' dúwa̠	TENSE:PRF_REC	Ie' dawówa̠
Ie' dúwa̠	TENSE:IPFV_REC	Ie' dawö̀wa̠
Ie' dúwa̠	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ie' tso dawö́kwa̠
Ie' dúwa̠	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Ie' kë̀ ku̠ dawö́kwa̠
Ie' dúwa̠	TENSE:PRF_PROG	Ie' bák dawö́kwa̠
Ie' dúwa̠	"TYPE:NEG, TENSE:PRF_PROG"	Ie' kë̀ ku'bak dawö́kwa̠
Ie' dúwa̠	"TENSE:IPFV_HAB, ASPECT:IPFV"	Ie' dawö̀kè̠wa̠
Ie' dúwa̠	"TENSE:FUT_POT, ASPECT:IPFV"	Ie' dawö̀wa̠mi̠
Ie' dúwa̠	"TENSE:FUT_CER, ASPECT:IPFV"	Ie' dawö̀râwa̠
Ie' dúwa̠	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ ie' dawö̀pawa̠
Wë́m dur stsö́k	TYPE:NEG	Wë́m kë̀ ku̠ dur stsö́k
Wë́m dur stsö́k	"TENSE:PRF_REM, ASPECT:PFV"	Wë́m bák dur stsö́k
Wë́m dur stsö́k	"TYPE:NEG, TENSE:PRF_PROG, ASPECT:PFV"	Wë́m kë̀ ku̠'bak dur stsö́k
Wë́m dur stsö́k	ABSNUM:PL	Wë́pa ië'te̠n stsö́k
Wë́m dur stsö́k	"TYPE:NEG, ABSNUM:PL"	Wë́pa kë̀ ku̠ ië'te̠n stsö́k
Wë́m dur stsö́k	"TENSE:PRF_REM, ASPECT:PFV, ABSNUM:PL"	Wë́pa bák ië'te̠n stsö́k
Wë́m dur stsö́k	"TYPE:NEG, TENSE:PRF_PROG, ASPECT:PFV, ABSNUM:PL"	Wë́pa kë̀ ku̠'bak ië'te̠n stsö́k
Be' dör ye' tsí bi'	TYPE:NEG	Be' kë̀ wa̠ ye' tsí bìne̠
Be' dör ye' tsí bi'	ASPECT:INC	Be' dör ye' tsí bi'mi̠
Be' dör ye' tsí bi'	TENSE:PRF_REC	Be' dör ye' tsí bé
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:PRF_REC"	Be' kë̀ wa̠ ye' tsí bìne̠
Be' dör ye' tsí bi'	"TENSE:PRF_REC, ASPECT:INC"	Be' dör ye' tsí bémi̠
Be' dör ye' tsí bi'	"TENSE:IPFV_REC, ASPECT:IPFV"	Be' dör ye' tsí biè
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ be' dör ye' tsí bie
Be' dör ye' tsí bi'	"TENSE:IPFV_PROG, ASPECT:IPFV"	Be' tso ye' tsí biö́k
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Be' kë̀ ku̠ ye' tsí biö́k
Be' dör ye' tsí bi'	TENSE:PRF_PROG	Be' bák ye' tsí biö́k
Be' dör ye' tsí bi'	"TYPE:NEG, TENSE:PRF_PROG"	Be' kë̀ ku̠'bak ye' tsí biö́k
Be' dör ye' tsí bi'	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV"	Be' dör ye' tsí biö́!
Be' dör ye' tsí bi'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:NA"	Kë̀ ye' tsí biök
Be' dör ye' tsí bi'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, PERSON:NA"	Kë̀ ye' tsí biar
Be' dör ye' tsí bi'	"MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:1_PL_INC"	Ye' tsí biö̀ sö
Be' dör ye' tsí bi'	"MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Be' é̠n a̠ ye' tsí bia'ku̠
Be' dör ye' tsí bi'	"TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ be' é̠n a̠ ye' tsí bia'ku̠
Be' dör ye' tsí bi'	MODE:ADVERS	Be' wa̠ ye' tsí bia'
