Order;Bribri (Nasal as line);Training sentence;Spanish;Source;Dialect
1232;si̱ni̱ʼ déwa̱ kò̱s iʼ seʼ tulúrse̱ í̱e̱, saʼ sé̱rke̱ eʼ rö;sĩnĩ' déwã kòxs i' se' tulúrsẽ íxẽ , sa' séxrkẽ e' rö;los chanchos de monte venían aquí donde nosotros estábamos , hasta donde nosotros vivíamos;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1233;si̱ni̱ʼ té̱rke̱ ká̱ eʼt mì̱ka̱ kàlwö tsoʼ kièke̱ àl;sĩnĩ' téxrkẽ káx e't mìxkã kàlwö tso' kièkẽ àl;el chancho de monte venía en el tiempo cuando hay una fruta llamada almendro;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1234;eʼ alí dárke̱ pô eʼ ta̱ si̱ni̱ʼ déwa̱ ta̱î̱ë;e' alí dárkẽ pô e' tã sĩnĩ' déwã tãîxë;Se caía abundante fruta madura por eso llegaba mucho chancho de monte .;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1235;ése ujtèke̱ blëʼkë́këpa sulë̀wö wa kuaʼböt wa;ése ujtèkẽ blë'kéqkëpa sulèqwö wa kua'böt wa;de esos mataban los mayores con la flecha y con la lanza;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1236;kë̀ yeʼ wa̱ i kö́t, blëʼkë́këpa i kö́t, blëʼkë́këpa wö́blar kuaʼböt yawè wa;kèq ye' wã i kóqt , blë'kéqkëpa i kóqt , blë'kéqkëpa wóqblar kua'böt yawè wa;yo no los maté , los mayores los mataban , los mayores sabían hacer lanzas;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1237;eʼ wa ieʼpa i ujtèke̱;e' wa ie'pa i ujtèkẽ;con eso ellos los mataban;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1238;eʼla katè sö, eʼ síwè̱ke̱ sö, mì̱ka̱ i kù̱na̱, eʼ ta̱ kë̀ i kù̱ne̱ eʼ ta̱ kë̀ seʼ wa̱ eʼ katàne̱, eʼ katèke̱ sö ulàtta̱;e'la katè sö , e' síwèxkẽ sö , mìxkã i kùxnã , e' tã kèq i kùxnẽ e' tã kèq se' wã e' katànẽ , e' katèkẽ sö ulàttã;nosotros lo comíamos , lo secábamos , cuando se encontraba , sino se encontraba entonces no era aprovechado por nosotros , lo comíamos de vez en cuando;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1239;blëʼkë́këpa kë̀, kë̀ wa̱ mó̱köl ta̱ʼ i ujtó ie eʼ ku̱é̱ki̱ ta̱ ieʼpa rö;blë'kéqkëpa kèq , kèq wã móxköl tã' i ujtó ie e' kũéxkĩ tã ie'pa rö;los mayores no , no tenían rifle para matarlo por eso ellos;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1240;sulë̀wöla wa i ujtèke̱, i kù̱na̱ eʼ ta̱, kë̀ i kù̱ne̱ eʼ ta̱ seʼ ujtè balí dör;sulèqwöla wa i ujtèkẽ , i kùxnã e' tã , kèq i kùxnẽ e' tã se' ujtè balí dör;con flechita lo mataban , cuando se conseguía , cuando no se encontraba entonces nos mataba el hambre;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1241;diʼ a̱ ieʼpa dör ni̱mà̱ tkèke̱, ni̱mà̱ bák pôë: ni̱mà̱ichö́k;di' ã ie'pa dör nĩmàx tkèkẽ , nĩmàx bák pôë : nĩmàxichóqk;en el río ellos asaeteaban los peces , había incontables peces: pez bobo;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1242;eʼ bák ta̱î̱ diʼ kièke̱ ichö́li eʼ ki̱, tsukúi ki̱, blài ki̱;e' bák tãîx di' kièkẽ ichóqli e' kĩ , tsukúi kĩ , blài kĩ;"había muchos en los ríos Yorkín , "" Tsukú "" , "" Balà """;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1243;ta̱î̱ë eʼ ujtèke̱ blëʼkë́këpa sulë̀ wa, eʼla eʼ katè sö;tãîxë e' ujtèkẽ blë'kéqkëpa sulèq wa , e'la e' katè sö;los mayores mataban muchísimos con flecha , eso comíamos;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1244;wè̱s iʼ eʼs ta̱ diʼ tëʼr sí pô eʼ ta̱ blëʼkë́këpa mí̱a̱ ni̱mà̱ ujtè ieʼpa dör sulë̀ wa;wèxs i' e's tã di' të'r sí pô e' tã blë'kéqkëpa míxã nĩmàx ujtè ie'pa dör sulèq wa;cuando el río estaba muy seco entonces los mayores iban a matar peces con flecha;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1245;yétsa̱ sulë̀ wa bö̀töm, ma̱ñà̱töm;yétsã sulèq wa bòqtöm , mãñàxtöm;sacan con flecha dos , tres;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1246;déka̱ mì̱kalê ta̱ dabòp ta̱ seʼ chké;dékã mìxkalê tã dabòp tã se' chké;llegaban a veces hasta diez y comíamos;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1247;blëʼkëkëpa i síwè̱ke̱, alákölpa tsoʼ wé̱shke̱, blëʼkëkëpa i síwè̱ka̱;blë'këkëpa i síwèxkẽ , alákölpa tso' wéxshkẽ , blë'këkëpa i síwèxkã;los mayores los ahumaban , las mujeres estaban en la casa , los mayores los ahumaban;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1248;eʼ síwöla katèke̱ sö, poʼpoʼ kalö́tak ajkö̀ ki̱, wè̱s seʼ é̱n a̱ i katâku̱ ma̱ eʼskapë;e' síwöla katèkẽ sö , po'po' kalóqtak ajkòq kĩ , wèxs se' éxn ã i katâkũ mã e'skapë;ahumado lo comíamos , seco sobre trozos de plátano , como uno quiera comerlo;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1249;diö̀ ie ma̱ a̱ñì̱es, ta̱î̱ë eʼ ké̱ska dùla bák;diòq ie mã ãñìxes , tãîxë e' kéxska dùla bák;en sopa también , en ese tiempo había mucha carne;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1250;î̱ñe̱ ta̱ kë̀ dùla ta̱ʼi̱a̱, dùla è̱na̱wa̱tke;îxñẽ tã kèq dùla tã'ĩã , dùla èxnãwãtke;hoy en día ya no hay carne , ya se terminó;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1251;blëʼkë́këpa bák i̱â̱chki si̱à̱r, kë̀ i̱nú̱köl ta̱ʼ;blë'kéqkëpa bák ĩâxchki sĩàxr , kèq ĩnúxköl tã';los mayores eran antiguamente muy pobres , no tenían plata;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1252;êrë ieʼpa chkö̀ tsoʼ wé̱shke̱, kë̀ ieʼpa ujtèku balí dör;êrë ie'pa chkòq tso' wéxshkẽ , kèq ie'pa ujtèku balí dör;pero ellos tenían comida en la casa , el hambre no los mataba;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1253;ieʼpa chkö̀ tsoʼ, ieʼpa wa̱ aliʼ tsoʼ, ieʼpa wa̱ ikuö̀ tsoʼ, ì kiàna̱ ieʼpa ki̱ ma̱ tsoʼ ieʼpa wa̱;ie'pa chkòq tso' , ie'pa wã ali' tso' , ie'pa wã ikuòq tso' , ì kiànã ie'pa kĩ mã tso' ie'pa wã;ellos tenían comida , ellos tenían yuca , ellos tenían maíz , ellos tenían lo que querían;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1254;êrë seʼ si̱à̱rla i̱nú̱köl kë̀ ta̱ʼ, seʼ chkö̀ eʼ tsoʼ wé̱shke̱, kë̀ seʼ ujtèku̱ balí dör;êrë se' sĩàxrla ĩnúxköl kèq tã' , se' chkòq e' tso' wéxshkẽ , kèq se' ujtèkũ balí dör;aunque nosotros muy pobrecitos no teníamos plata , nuestra comida estaba en la casa , el hambre no nos mataba;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1255;sa' yàmi̱ tö bàka má̱ tè ta̱î̱ë;sa' yàmĩ tö bàka máx tè tãîxë;nuestros parientes indígenas desmontan mucho para potreros;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1256;e' dör i kiàna̱ bàka má̱ péitök bulu'pa i̱a̱ e' ku̱é̱ki̱;e' dör i kiànã bàka máx péitök bulu'pa ĩã e' kũéxkĩ;es por eso que quieren alquilar los potreros a los ricos;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1257;sa' yàmi̱pa tö ká̱ wö́kir kë̀ ka̱nè̱blö wë̂i̱à̱;sa' yàmĩpa tö káx wóqkir kèq kãnèxblö wêqĩàx;nuestros parientes no trabajan las parcelas cabalmente;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1258;porque ie'pa kiàna̱ inú̱köl kalö̂ú̱k;porque ie'pa kiànã inúxköl kalôqúxk;porque ellos quieren ganar dinero;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1259;"e' dör ""solo"" bàka má̱ tèlordak irir péite bulu'pa wák i̱a̱ e' ku̱é̱ki̱";"e' dör "" solo "" bàka máx tèlordak irir péite bulu'pa wák ĩã e' kũéxkĩ";es por eso que solo desmontan potreros para alquilárselo a los ganaderos;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1260;ye' kiàna̱ i chö́k tö Cabagra;ye' kiànã i chóqk tö Cabagra;yo quiero decir que Cabagra;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1261;é̱n a̱ chö̀tke átuwö kuáblök, chkèwö kuáblök, íyi kuáblök;éxn ã chòqtke átuwö kuáblök , chkèwö kuáblök , íyi kuáblök;se le ha olvidado sembrar frijoles , sembrar la comida , sembrar las cosas;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1262;porque, i mî̱ke̱rak ka̱nè̱blök bulu'pa ta̱, ka̱nè̱blök awísh awísh awísh awísh, e' ku̱é̱ki̱;porque , i mîxkẽrak kãnèxblök bulu'pa tã , kãnèxblök awísh awísh awísh awísh , e' kũéxkĩ;porque , esos van a trabajar con los ganaderos , a trabajar por allá , allá , allá , allá , por eso;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1263;se' kiè, se' ë́ltë wák wö́ulâne̱ e' rör;se' kiè , se' éqltë wák wóqulânẽ e' rör;nosotros decimos , nuestra generación aprendió a;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1264;íyök kuáblök: kalö́m kuá,;íyök kuáblök : kalóqm kuá ,;labrar la tierra: mata de banano;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1265;chkè kuá, dikó kuá, tsiru' kuá, kápi kuá, chkè kuá;chkè kuá , dikó kuá , tsiru' kuá , kápi kuá , chkè kuá;plantas comestibles , pejibaye , cacao , café , hortalizas;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1266;î̱ñe̱ kë̀ e' ta̱'i̱a̱;îxñẽ kèq e' tã'ĩã;hoy ya no lo hacemos;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1267;"î̱ñe̱ se' mî̱kale ""solo"" inú̱köl e' ku̱é̱ki̱ bulu'pa sìkuapa sé̱ sa̱ú̱kale";"îxñẽ se' mîxkale "" solo "" inúxköl e' kũéxkĩ bulu'pa sìkuapa séx sãúxkale";ahora seguimos a los ganaderos solo por el dinero;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1268;e' kë̀ dör se' i̱a̱ bua'ë wa̱;e' kèq dör se' ĩã bua'ë wã;eso no es bueno para nosotros;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1269;î̱ñe̱ pë' ki̱ ujté kiàna̱ alê;îxñẽ pë' kĩ ujté kiànã alê;hoy la gente quiere hechos;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1270;"î̱ñe̱ se' kí̱me̱mi̱ma̱le̱, î̱ñe̱ ""el gobierno"" ki̱ se' kiàna̱ su̱è̱";"îxñẽ se' kíxmẽmĩmãlẽ , îxñẽ "" el gobierno "" kĩ se' kiànã sũèx";hoy nos ayuda el gobierno , hoy el gobierno quiere saber;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1271;se' tö íyök ña̱ ka̱nè̱blök wè̱ke̱;se' tö íyök ñã kãnèxblök wèxkẽ;si nosotros estamos trabajando la tierra;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1272;e' chö̀tke se' é̱n a̱;e' chòqtke se' éxn ã;lo hemos olvidado;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1273;shá̱böts ta̱ sö i tulústsa̱ ta̱î̱ë pë' i̱a̱;sháxböts tã sö i tulústsã tãîxë pë' ĩã;la mitad lo regalamos a muchísimos no indígenas;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1274;inú̱köl ë̀ ku̱é̱ki̱;inúxköl èq kũéxkĩ;únicamente por el dinero;CorpusSofia B15h53m37s18jul2014.html Sobre el uso de la tierra en Cabagra;salitre
1275;ké̱we ta̱ sa' tö tsiru' wö̀ tèke̱;kéxwe tã sa' tö tsiru' wòq tèkẽ;primeramente nosotros cortamos el fruto del cacao;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1276;i tsakèke̱ ¡é! i ma̱ shkö́wè̱ke̱;i tsakèkẽ é ! i mã shkóqwèxkẽ;lo reventamos eh ! y lo fermentamos;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1277;síkwa ki̱ të́rulewa̱, ékëpa i mè̱ke̱ttsa̱ dìba a̱ i sìne̱;síkwa kĩ téqrulewã , ékëpa i mèxkẽttsã dìba ã i sìnẽ;sobre las hojas que hemos cortado , entonces lo tendemos al sol , se seca;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1278;e' ta̱ i kukèke̱, i wö̀ppèke̱ ta̱, i wèke̱ tabèchka ki̱ka ékëpa ta̱;e' tã i kukèkẽ , i wòqppèkẽ tã , i wèkẽ tabèchka kĩka ékëpa tã;así lo tostamos , lo venteamos , lo molemos en la máquina después;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1279;blôblô chkà, páköl chkà, e' mi̱, tsiru' chkà e' mè̱ke̱ka̱ bö' ki̱ka e' ta̱;blôblô chkà , páköl chkà , e' mĩ , tsiru' chkà e' mèxkẽkã bö' kĩka e' tã;la masa dulce , la masa de caña , junto a aquello , esa masa de cacao se pone en el fuego entonces;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1280;"e' daléwa ta̱ se' tö i mo̱ló̱tsmo̱ló̱ts íyi mo̱ló̱tsmo̱ló̱ts ièka̱ i̱a̱ kiè sìkua tö ""canela""";"e' daléwa tã se' tö i mõlóxtsmõlóxts íyi mõlóxtsmõlóxts ièkã ĩã kiè sìkua tö "" canela """;mientras tanto nosotros le echamos cosas sabrosas como la que los no indígenas llaman canela;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1281;ma̱ se' tö i kiè e̱ma̱ dlásháwö;mã se' tö i kiè ẽmã dlásháwö;nosotros lo llamamos jengibre;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1282;ékëpa sa' tö i tèke̱ shá̱mé̱la ie, apà butrèke̱wa̱ sìkua yë́jkuö wa, e' wa sa' i wà ta̱wè̱ke̱ bulu'pa a̱;ékëpa sa' tö i tèkẽ sháxméxla ie , apà butrèkẽwã sìkua uyèqjkuö wa , e' wa sa' i wà tãwèxkẽ bulu'pa ã;después nosotros la cortamos en pedacitos , la envolvemos con el papel de los no indígenas , con eso nosotros lo vendemos a las personas adineradas .;CorpusSofia B09h22m53s05sep2012.html Cómo se prepara el cacao dulce;coroma
1283;i' dör sa' ùsulë;i' dör sa' ùsulë;esta es nuestra casa cónica;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1284;e's Sibö̀ dör sa' a̱ ká̱ a̱me̱'a̱t yö̀nu̱k, i' e's Sibö̀ dör sa' a̱ ta̱;e's Sibòq dör sa' ã káx ãmẽ'ãt yòqnũk , i' e's Sibòq dör sa' ã tã;así Sibö̀ nos dejó un lugar a nosotros para ser hecho , así es Sibö̀ para nosotros;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1285;ká̱ kà̱jtö yö' Sibö̀ rö;káx kàxjtö yö' Sibòq rö;Sibö̀ hizo el cielo;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1286;sa' brìbriwak a̱, se' ditsö̀ a̱, sa' ulíta̱ne̱ a̱;sa' brìbriwak ã , se' ditsòq ã , sa' ulítãnẽ ã;para nosotros los bribri , para nuestra semilla , para todos nosotros;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1287;wé̱ ie' dör i diö̀ ya', ká̱ kièke̱ Sulàyöm;wéx ie' dör i diòq ya' , káx kièkẽ Sulàyöm;donde él bebió , el lugar se llama Sulàyöm;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1288;ì kiàna̱ ma̱ ù i', kiàna̱ yë̀nu̱k tö wè̱s ma̱ íyi ulíta̱ne̱, Sibö̀ ù dör;ì kiànã mã ù i' , kiànã yèqnũk tö wèxs mã íyi ulítãnẽ , Sibòq ù dör;qué se quiere de esta casa , se quiere decir que como todas las cosas , la casa de Sibö̀ es;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1289;wè̱s kirë̀rma̱pa icha wé ma̱;wèxs kirèqrmãpa icha wé mã;es como la casa de los no indígenas;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1290;diö́köl yawèke̱ ie'pa dör e' sû̱, sa' icha diö́köl yawö̀ke̱;dióqköl yawèkẽ ie'pa dör e' sûx , sa' icha dióqköl yawòqkẽ;semejante a la forma que ellos hacen , hacemos la forma nuestra;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1291;se' a̱ Sibö̀ dör ká̱ a̱me̱'a̱t ikuá̱ki̱;se' ã Sibòq dör káx ãmẽ'ãt ikuáxkĩ;Sibö̀ nos dejó un lugar diferente;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1292;bikéitse iku̱á̱ki̱, kirë̀rmapa a̱ i a̱me̱'a̱t iku̱á̱ki̱;bikéitse ikũáxkĩ , kirèqrmapa ã i ãmẽ'ãt ikũáxkĩ;una forma de pensar diferente , a los no indígenas les dejó otra;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1293;se' a̱ Sibö̀ dör i'es ká̱ ajkàyë' tö i'es, ká̱ i'es;se' ã Sibòq dör i'es káx ajkàyë' tö i'es , káx i'es;Sibö̀ nos enseñó este mundo así , que así este mundo es así;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1294;ma̱ ká̱ kà̱jtö aì jtö̀ dör;mã káx kàxjtö aì jtòq dör;la superficie de aquel cielo es;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1295;ie' icha yö' ké̱we mu̱lù̱sik wa;ie' icha yö' kéxwe mũlùxsik wa;él hizo lo suyo primero con bijagua;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1296;e' icha e' wa ie' icha jtö̀ië';e' icha e' wa ie' icha jtòqië';con eso él forró lo suyo;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1297;e' ku̱é̱ki̱ ta̱ ká̱ shù̱ a̱ ta̱ ká̱ dör sarûrû, wè̱s mu̱lù̱sik dör mu̱lù̱sik jtö̀ ár e' sû̱ë;e' kũéxkĩ tã káx shùx ã tã káx dör sarûrû , wèxs mũlùxsik dör mũlùxsik jtòq ár e' sûxë;por eso la parte de adentro del cielo es blanca , como la bijagua es muy parecida a la parte interior de la bijagua que cuelga;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1298;újkö dör e'tk ë̀, wé̱ dìwö tskírke̱ e̱'rök, ma̱;újkö dör e'tk èq , wéx dìwö tskírkẽ ẽ'rök , mã;la puerta es una solamente , ahí donde nace el sol , pues;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1299;së́ dör pàköl;séq dör pàköl;los horcones son ocho;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1300;e' dör;e' dör;eso es;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1301;ma̱ i wé e' a̱ se' bùlikalö̀ke̱, i̱â̱chikí ta̱ balë' kë́këpa wa̱ i bák se' bulàne̱ ie;mã i wé e' ã se' bùlikalòqkẽ , ĩâxchikí tã balë' akéqkëpa wã i bák se' bulànẽ ie;pues en una casa de esas nosotros danzamos el sorbón , antiguamente las personas mayores la tenían para las ceremonias fúnebres;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1302;se' bula'ó̱ ie, íyi ulìta̱ne̱ bua'bua, ujté bua'bua, si̱wa̱' bua'bua, bikéitsó̱ ie;se' bula'óx ie , íyi ulìtãnẽ bua'bua , ujté bua'bua , sĩwã' bua'bua , bikéitsóx ie;para nuestras ceremonias fúnebres , para reflexionar todas las cosas buenas , temas importantes , conocimientos importantes;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1303;e's kipë ie'pa wa̱ íyi ulìta̱ne̱ bák;e's kipë ie'pa wã íyi ulìtãnẽ bák;así de esta manera ellos tenían todas las cosas;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1304;ë́ e' ukö̀ mì̱ri̱a̱ sa' wa̱ í̱e̱ rö́k;éq e' ukòq mìxrĩã sa' wã íxẽ róqk;hasta ahora , nosotros aún llevamos una parte de eso;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1305;i' dör ùsulë ichö́kalene̱;i' dör ùsulë ichóqkalenẽ;esta es propiamente una casa cónica;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1306;a̱wì̱ ák wé mé̱rka̱ e' kiè alòwe;ãwìx ák wé méxrkã e' kiè alòwe;allá está puesto el rancho de la piedra , ese se llama alòwe;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
1307;e' dör e's Sibö̀ dör sa' a̱ ù ajkàyë' uka'ë;e' dör e's Sibòq dör sa' ã ù ajkàyë' uka'ë;eso es así Sibö̀ nos enseñó la construcción de la casa desde el principio;CorpusSofia B17h34m15s06apr2012.html Sobre el significado y uso de la casa cónica (ùsulë);amubri
